1,1,Contact Dummy,Jakarta,(021),,,0,,false,1,Contact Dummy,,,,2,1
2,2,GRAFIKA WANGI KALIMANTAN,"Jl. AS Musyaffa No 16 RT 01/RW 01 Antasan Besar
Banjarmasin","+62 511 4705900 - 01, fax. 62 511 4705477","Jl. Palmerah Selatan No. 3, 
(Gedung ex. Tabloid Bola)
Jakarta 10270.",,0,11415486731000,true,1,GRAFIKA WANGI KALIMANTAN,,,,1,1
3,3,GRAFITECINDO CIPTAPRIMA,"Jl. Jababeka XVII Blok V 92-93 Kawasan Industri Cikarang - Jababeka
KARANGBARU - CIKARANG
KAB. BEKASI - 17530","(021) 8903280, fax: 8901344","Kaw. Ind. Jababeka Blok U 
Kav. 8, Cikarang, Bekasi",,0,15047608431000,true,7,GRAFITECINDO CIPTAPRIMA,,,,1,1
4,4,GRAMEDIA PALMERAH,"Jl. Palmerah Selatan No. 22 
Gelora Tanah Abang
Jakarta Pusat","(021) 5483008 ext. 2753, 2560, Fax. 5490626/5482774","Jl. Palmerah Selatan No. 22-28
Jakarta Barat",,0,10026896092000,true,1,GRAMEDIA,,,,1,2
5,5,GUNUNG PARANG GRAHA,"Jl. Kelinci Raya No.27
Jakarta 10710","(021) 3813527, 3845265","Jl. Kelinci Raya No.27
Jakarta 10710",,0,13032586026000,true,1,GUNUNG PARANG GRAHA,,,,1,1
6,6,BENGKULU SEMARAK GRAFIKA PERS,Jl. Pangeran Natadirja No. 69 Km. 7 Bengkulu,"(0736) 22060, 20882, Fax  346770",Jl. P. Natadirja No. 69 Km. 7 Bengkulu,,0,17596511311000,true,1,BENGKULU SEMARAK GRAFIKA PERS,,,,1,1
7,7,HASTAPRIMA TABIK KENCANA,"Jl. Garuda No. 3, Batuceper
Tangerang 15122","Ph.  5447301-2, 5447289, Fax. 55794780","Jl. Garuda, No. 3, Batuceper
Tangerang 15122",,0,13559059402001,true,1,HASTAPRIMA TABIK KENCANA,,,,1,1
8,8,HEIDELBERG INDONESIA,"Mulia Business Park Building E 
Jl. MT Haryono Kav 58-60, Pancoran
Pancoran - Jakarta Selatan 
DKI Jakarta Raya 12780","Tel : (021) 27536800, Fax.27536868",Gudang Logistic - Pulogadung,,0,13007034059000,true,1,HEIDELBERG INDONESIA,,,,1,1
9,9,IKRAR MANDIRIABADI,"Jl. Ciledug Raya No.12 RT.002/001
Petukangan Utara - Pesanggrahan
Jakarta Selatan - DKI Jakarta","(021) 8831448, fax 53123758","Jl. Inspeksi Kalimalang, Desa Cibuntu, Cibitung",,0,13335013013000,true,1,IKRAR MANDIRIABADI,,,,1,1
10,10,INDONESIA MULTI COLOUR PRINTING,"Jl. Rungkut Industri I No. 10, RT 01RW 05
Kendang sari -  Tenggilis Mejoyo
Surabaya","(031) 8438702, Fax 8438379","Jl. Rungkut Industri I No. 10, RT 01RW 05
Kendang sari -  Tenggilis Mejoyo
Surabaya",,0,11085222631000,true,1,INDONESIA MULTI COLOUR PRINTING,,,,1,1
11,11,INDAH KIAT Pulp & Paper Tbk,"Sinar Mas Land Plaza Menara 2 Lt. 7
Jl. MH. Thamrin No. 51
Gondangdia - Menteng
Jakarta Pusat - DKI Jakarta","(0254) 280088 Ext. 6111, F:280908","Jl. Serang Raya, Km.76
Kragilan, Serang - 42184",,0,10005668092000,true,1,INDAH KIAT Pulp & Paper Tbk,,,,1,1
12,12,INDOGRAPHICA EKAKARSA,"Jl. Komplek CCIE Blok A No. 10
Cileungsi - Bogor 16820","(021) 8754125, 2510054fax8754124","Jl. Komplek CCIE Blok A No. 10
Cileungsi - Bogor 16820",,0,16262073436000,true,1,INDOGRAPHICA EKAKARSA,,,,1,1
13,13,INDOJAYA MULTITAMA,"Jl. Nusa Indah 26, Kapuk
Jakarta Barat 11720","(021) 5679372/71, Fax 5679370, 5648312","Jl. Nusa Indah 26, Kapuk
Jakarta Barat 11720",,0,16010860034000,true,1,INDOJAYA MULTITAMA,,,,1,1
14,14,INDONESIA REPRO,"Jl. Jelambar Kebon Pala Blok PF3/18
TPI I RT/RW. 001/007
Pejagalan",(021) 66601651,"Jl. Raya Pangeran Tubagus  Angke
Komplek TPI I Blok PS-3 No. 18
Jakarta Utara",,0,16964389041000,true,1,INDONESIA REPRO,,,,1,1
15,15,INDOPERSDA PRIMAMEDIA,"Jl. Palmerah Selatan No. 3, Jakarta 10270",(021) 5483008/5480888/5490666 ext. 7611-7612 F. 5495358,"Jl. Palmerah Selatan No. 3, 
Jakarta 10270.",,0,16612350022000,true,1,INDOPERSDA PRIMAMEDIA,,,,1,1
16,16,INTER TEKNO GRAFIKA SEJATI,"Jl. Tanah Abang II No. 113 Cideng, Gambir
Jakarta Pusat 10160"," 34830888, 34830753-55, fax 3853740","Jl. Gili Samping No. 53, Kemanggisan, Jakarta Barat",,0,17098385028000,true,1,INTER TEKNO GRAFIKA SEJATI,,,,1,1
17,17,INTERACT CORPINDO,"Jl. Thalib IV/8, Krukut Tamansari
Jakarta Barat","(021) 8250166, fax (021) 8250167","Jl. Narogong Raya Km. 7, Bojong Menteng
Bekasi 17117",,0,13092531038000,true,1,INTERACT CORPINDO,,,,1,1
18,18,INTERCIPTA PLUSINDO,"Jl. Tulip No. 203 RT.017/004
Jakarta Barat",(021) 5646545,"Jl. Tulip No. 203 RT.017/004
Jakarta Barat",,0,13361241031000,true,1,INTERCIPTA PLUSINDO,,,,1,1
19,19,INTERMASA,"Jl. Raya Mekarsari Ragemanunggal Kp. Cipicung RT.10 RW.04, Mekarsari Kec. Cileungsi Kab. Bogor - Jawa Barat",(021)29232736 fax : 021-29232737,Jl. Raya Ragemanunggal Cileungsi Bogor,,0,10028280052000,true,1,INTERMASA,,,,1,1
20,20,INTIPERDANA GRAFINDO,"Jl. Pangkalan II Rt. 002 Rw. 001
Cikiwul - Bantar Gebang 
Bekasi",(021) 8260 2620 fax : (021) 8260 2058,"Jl. Pangkalan II No. 57
Narogong Raya Km 12
Bekasi Barat",,0,16025892432000,true,1,INTIPERDANA GRAFINDO,,,,1,1
21,21,INDONESIA PRINTER,"Grand Slipi Tower Lt 26 
Jl. Letjen S. Parman Kav.22-24 Slipi Jakarta Barat.
DKI Jakarta Raya
T. 29022055 F. 29022056/57",T : 6618501 F : 6618494/95,,cetak sticker,0,,true,1,,,,,2,1
22,22,JAMBI PRESS INTERMEDIA,"Jl. Kapten Patimura 35 Km. 8, Kenali Besar
Kodya Jambi","Telp. 0741-65658, Fax : 0741-667338","Jl. Kapten Patimura 35 Km. 8, Kenali Besar
Kodya Jambi",,0,16549529331000,true,1,JAMBI PRESS INTERMEDIA,,,,1,1
23,23,CATUR KREASI AKSARA,"Jl. Bintara Jaya Raya No. 40, Kamp. Cibening - Bintara Jaya,
Bekasi Barat 17136",(021) 86901714-16 fax:8641419,"Jl. Bintara Jaya Raya No. 40, Kamp. Cibening - Bintara Jaya,
Bekasi Barat 17136",,0,13954334407000,true,1,CATUR KREASI AKSARA,,,,1,1
24,24,MAJU JAYA,"Jl. Raya Sultan Agung, KM 28.5 Rt/Rw : 001/022, Bekasi Barat
Bekasi","(021) 8840241, F : 8842269, 8840242,8840367","Jl. Raya Bekasi Km. 28,5
Bekasi 17133",,0,10006427054000,true,1,MAJU JAYA,,,,1,1
25,25,KARSA WIRA UTAMA,"Jl. Sultan Hasanudin No.37
Kebayoran Baru, Jakarta",(021) 7205612 - Tagihan : 5918106/7,"Jl. Pajajaran No. 10, Desa Gandasari
Kec. Jatiuwung - Tangerang 15134",,0,13919030012000,true,1,KARSA WIRA UTAMA,,,,1,1
26,26,KARTIKA NAYA,Jl. Raya Bekasi Km. 26 Ujung Menteng - Cakung Jakarta Timur," 4600369 - 4603321, Fax. +62 21 4602370","Jl. Raya Bekasi Km. 26
Jakarta 13960",,0,10008217007000,true,1,KARTIKA NAYA,,,,1,1
27,27,PERCETAKAN KARYA GUNUNG MAS AGUNG,"Gg. Semut No. 20-22 Rt.004/004,Kapuk-Cengkareng
Jakarta 11720","(021) 6192207, 6192939, fax. 5416013","Gg. Semut No. 20-22 Rt.004/004, Kapuk Poglar
Jakarta Barat",,0,13604541034000,true,1,PERCETAKAN KARYA GUNUNG MAS AGUNG,,,,1,1
