1,1,DummyMachine,Dummy Machine,
2,2,Cromoman,Cromoman,
3,3,MO,MO,
4,4,HeidelbergCD102,Heidelberg CD 102,
5,5,HeidelbergCD74,Heidelberg CD 74,
6,6,HeidelbergGTO46,Heidelberg GTO 46,
7,7,HeidelbergGTO52,Heidelberg GTO 52,
8,8,HeidelbergKORD,Heidelberg KORD,
9,9,HeidelbergKORS,Heidelberg KORS,
10,10,HeidelbergMO,Heidelberg MO,
11,11,HeidelbergPM52,Heidelberg PM 52,
12,12,HeidelbergPM74,Heidelberg PM 74,
13,13,HeidelbergSM52,Heidelberg SM 52,
14,14,HeidelbergSM74,Heidelberg SM 74,
15,15,HeidelbergSORD,Heidelberg SORD,
16,16,HeidelbergSORM72SM72,Heidelberg SORM 72 / SM 72,
17,17,HeidelbergSORSSM102,Heidelberg SORS / SM 102,
18,18,HeidelbergXL105,Heidelberg XL 105,
19,19,HeidelbergHarrisV25M,Heidelberg Harris V25/M,
20,20,HeidelbergHarrisM110,Heidelberg Harris M 110,
21,21,HeidelbergHarrisM300,Heidelberg Harris M 300,
22,22,HeidelbergHarrisM600,Heidelberg Harris M 600,
23,23,HeidelbergHarrisM1000,Heidelberg Harris M 1000,
24,24,KBARapida,KBA Rapida,
25,25,KBARapida74,KBA Rapida 74,
26,26,KBARapida104,KBA Rapida 104,
27,27,KBARapida105,KBA Rapida 105,
28,28,KBARapida106,KBA Rapida 106,
29,29,KBARapida72,KBA Rapida 72,
30,30,KBACompacta,KBA Compacta,
31,31,KBACompacta214,KBA Compacta 214,
32,32,KBAA500,KBA A500,
33,33,KBAJournal,KBA Journal,
34,34,KBASimultan,KBA Simultan,
35,35,KBAMetalstar,KBA Metalstar,
36,36,KBAMailander45,KBA Mailander 45,
37,37,KomoriSprint25,Komori Sprint 25,
38,38,KomoriSprint26,Komori Sprint 26,
39,39,KomoriLithrone20,Komori Lithrone 20,
40,40,KomoriLithrone26,Komori Lithrone 26,
41,41,KomoriLithrone28,Komori Lithrone 28,
42,42,KomoriLithroneS40,Komori Lithrone S 40,
43,43,KomoriLithrone40,Komori Lithrone 40,
44,44,KomoriLithrone44,Komori Lithrone 44,
45,45,KomoriLithrone420,Komori Lithrone 420,
46,46,KomoriLithrone426,Komori Lithrone 426,
47,47,KomoriKomori526,Komori Komori 526,
48,48,KomoriKomoriExcel32,Komori Komori Excel32,
49,49,KomoriKomoriS40,Komori Komori S40,
50,50,KomoriKors,Komori Kors,
51,51,ManRolandRolandParva,Man Roland Roland Parva,
52,52,ManRolandRolandRecordIIIB,Man Roland Roland Record IIIB,
53,53,ManRolandRolandRecord,Man Roland Roland Record   ,
54,54,ManRolandRolandUltra,Man Roland Roland Ultra,
55,55,ManRolandRoland100,Man Roland Roland 100,
56,56,ManRolandRoland200,Man Roland Roland 200,
57,57,ManRolandRolland700,Man Roland Rolland 700,
58,58,ManRolandRoland900,Man Roland Roland 900,
59,59,ManRolandRoland300,Man Roland Roland 300,
60,60,ManRolandRoland500,Man Roland Roland 500,
61,61,ManRolandRoland800,Man Roland Roland 800,
62,62,ManRolandRolandFavorite,Man Roland Roland Favorite,
63,63,ManRolandRolandKordRzk,Man Roland Roland Kord Rzk,
64,64,ManRolandManColorman35,Man Roland Man Colorman 35,
65,65,ManRolandManCromoman,Man Roland Man Cromoman,
66,66,ManRolandManCoroman,Man Roland Man Coroman,
67,67,ManRolandManCromoset,Man Roland Man Cromoset,
68,68,ManRolandManUniman22,Man Roland Man Uniman 2/2,
69,69,ManRolandManUniman42,Man Roland Man Uniman 4/2,
70,70,ManRolandManUniman,Man Roland Man Uniman,
71,71,ManRolandManUniset60,Man Roland Man Uniset 60,
72,72,ManRolandManUniset70,Man Roland Man Uniset 70 ,
73,73,ManRolandManUniset45,Man Roland Man Uniset 45,
74,74,ManRolandManUniset75,Man Roland Man Uniset 75,
75,75,ManRolandManUltraman,Man Roland Man Ultraman,
