1,1,Pieces (Pcs)
2,2,Kilogram (Kg)
3,3,Liter (Lit)
4,4,Roll 
5,5,Meter (M)
6,6,Millimeter (mm)
7,7,Unit
8,8,Sheet / Lembar
9,9,Gram (gr)
10,10,Millilitre (mL)
11,11,Centimeter (cm)
12,12,Tin / Kaleng
13,13,Sqm (m2)
14,14,Sack / Karung
15,15,Pair / Pasang
16,16,Pack / Bungkus
17,17,Pack 1Kg
18,18,Pail 4Kg
19,19,Pail 5Kg
20,20,Pail 25Kg
21,21,Pail 27Kg
22,22,Pail 5L
23,23,Pail 10L
24,24,Pail 20L
25,25,Pail 25L
26,26,Drum 200Kg
27,27,Drum 220Kg
28,28,Drum 200L
29,29,Botol 1L
30,30,Tin 700g
31,31,Tin 500g
32,32,Tin 1Kg
33,33,Tin 900g
34,34,Tin 0.25L
35,35,Box 
36,36,Drum 160Kg
37,37,Drum 158Kg
39,38,Drum
41,39,Slit Roll
42,40,Jumbo Roll
43,41,Drum 165Kg
44,42,Rim 
45,43,Set
46,44,Lusin 
47,45,Drum 155Kg
