Id,BlanketOrderId,BlanketId,RollBlanketUsage,RollBlanketDefect,TotalCost,BarCost,AdhesiveCost,RollBlanketCost,IsCut,IsSideSealed,IsBarPrepared,IsAdhesiveTapeApplied,IsBarMounted,IsBarHeatPressed,IsBarPullOffTested,IsQCAndMarked,IsPackaged,IsRejected,RejectedDate,IsJobScheduled,IsFinished,FinishedDate,IsDeleted,CreatedAt,UpdatedAt,DeletedAt
1,1,4981,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2014-12-24 11:33:21,,2014-12-30 09:35:39
2,1,1123,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2014-12-24 11:34:54,,2014-12-24 11:35:45
3,2,1147,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2014-12-24 11:53:14,,2014-12-30 09:35:52
4,3,1122,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2014-12-24 13:18:51,,
5,4,1129,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2014-12-24 13:21:22,,
6,5,1433,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2014-12-24 13:25:01,,
7,6,1066,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2014-12-24 13:46:31,,
8,7,1272,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2014-12-24 14:27:29,,
9,8,1387,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2014-12-24 14:35:34,,2015-04-27 21:55:26
10,9,1063,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2014-12-24 14:37:05,,
11,10,1193,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2014-12-24 14:44:20,,
12,11,1264,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2014-12-24 14:47:26,,
13,12,1568,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2014-12-24 14:48:58,,
14,13,4992,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2014-12-24 15:01:35,,
15,14,1121,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2014-12-24 15:03:37,,
16,15,1213,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2014-12-24 15:06:25,,2015-03-22 22:53:42
17,16,4994,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2014-12-24 15:26:39,,
18,17,1121,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2014-12-24 15:27:57,,
19,18,4995,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2014-12-24 15:33:06,,
20,19,4996,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2014-12-24 15:36:39,,2015-01-17 10:08:37
21,20,4997,0.6,0,0,0,0,0,True,True,True,True,True,True,True,True,True,False,,False,False,,False,2014-12-24 15:42:51,2015-01-16 16:15:08,
22,21,1332,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2014-12-24 15:45:05,,
23,22,1231,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2014-12-24 15:47:35,,
24,23,1315,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2014-12-24 15:50:06,,
25,24,1364,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2014-12-24 15:53:09,,
26,25,1366,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2014-12-24 15:54:50,,
27,26,5000,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2014-12-24 16:03:26,2015-03-18 21:57:05,
28,27,1383,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2014-12-24 16:09:23,,
29,28,1067,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2014-12-29 15:14:22,,
30,29,1346,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2014-12-29 15:41:03,,
31,30,5001,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2014-12-29 15:52:25,,
32,31,1372,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2014-12-29 15:59:13,,
33,32,1262,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2014-12-29 16:01:26,,2014-12-29 16:01:36
34,32,1262,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2014-12-29 16:01:54,,2015-03-22 20:05:24
35,33,1372,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2014-12-29 16:11:55,,2015-01-17 10:47:37
36,34,5002,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2014-12-29 16:23:57,,
37,35,5003,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2014-12-29 16:52:42,,
38,36,5004,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2014-12-29 16:58:43,,
39,37,1227,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2014-12-29 17:04:02,,
40,38,5005,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2014-12-30 08:46:23,,
41,39,1041,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2014-12-30 08:50:52,,
42,40,1041,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2014-12-30 09:15:44,,2014-12-30 09:15:59
43,40,5006,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2014-12-30 09:16:29,,2015-04-27 21:22:36
44,41,978,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2014-12-30 09:17:57,,2015-01-02 03:24:50
45,42,1147,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2014-12-30 09:42:08,,
46,41,5007,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-02 03:24:40,,
47,44,5008,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-02 03:30:32,,
48,45,4981,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-02 03:34:15,,
49,47,1366,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-02 03:42:53,,
50,48,5009,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-02 04:19:25,,
51,49,5010,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2015-01-02 04:22:11,,2015-01-17 11:21:37
52,50,5011,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-02 04:52:39,,
53,51,1273,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,False,,False,False,,True,2015-01-09 11:44:49,2015-01-09 14:44:22,
54,46,5006,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2015-01-09 11:51:47,,2015-04-27 21:03:25
