Id,ContactGroupId,Name,NamaFakturPajak,Address,DeliveryAddress,NPWP,Description,ContactNo,PIC,PICContactNo,Email,IsTaxable,TaxCode,ContactType,DefaultPaymentTerm,IsDeleted,CreatedAt,UpdatedAt,DeletedAt
1,1,Contact Dummy,Contact Dummy,Jakarta,,,,(021),,,,False,1,,0,False,2014-12-19 08:55:50,,
2,1,GRAFIKA WANGI KALIMANTAN,GRAFIKA WANGI KALIMANTAN,"Jl. AS Musyaffa No 16 RT 01/RW 01 Antasan Besar
Banjarmasin","Jl. Palmerah Selatan No. 3, 
(Gedung ex. Tabloid Bola)
Jakarta 10270.",11415486731000,,"+62 511 4705900 - 01, fax. 62 511 4705477",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:10:49,
3,1,GRAFITECINDO CIPTAPRIMA,GRAFITECINDO CIPTAPRIMA,"Jl. Jababeka XVII Blok V 92-93 Kawasan Industri Cikarang - Jababeka
KARANGBARU - CIKARANG
KAB. BEKASI - 17530","Kaw. Ind. Jababeka Blok U 
Kav. 8, Cikarang, Bekasi",15047608431000,,"(021) 8903280, fax: 8901344",,,,True,7,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:10:49,
4,2,GRAMEDIA PALMERAH,GRAMEDIA,"Jl. Palmerah Selatan No. 22 
Gelora Tanah Abang
Jakarta Pusat","Jl. Palmerah Selatan No. 22-28
Jakarta Barat",10026896092000,,"(021) 5483008 ext. 2753, 2560, Fax. 5490626/5482774",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2015-04-13 19:52:43,
5,1,GUNUNG PARANG GRAHA,GUNUNG PARANG GRAHA,"Jl. Kelinci Raya No.27
Jakarta 10710","Jl. Kelinci Raya No.27
Jakarta 10710",13032586026000,,"(021) 3813527, 3845265",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:10:49,
6,1,BENGKULU SEMARAK GRAFIKA PERS,BENGKULU SEMARAK GRAFIKA PERS,Jl. Pangeran Natadirja No. 69 Km. 7 Bengkulu,Jl. P. Natadirja No. 69 Km. 7 Bengkulu,17596511311000,,"(0736) 22060, 20882, Fax  346770",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:10:50,
7,1,HASTAPRIMA TABIK KENCANA,HASTAPRIMA TABIK KENCANA,"Jl. Garuda No. 3, Batuceper
Tangerang 15122","Jl. Garuda, No. 3, Batuceper
Tangerang 15122",13559059402001,,"Ph.  5447301-2, 5447289, Fax. 55794780",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 16:31:35,
8,1,HEIDELBERG INDONESIA,HEIDELBERG INDONESIA,"Mulia Business Park Building E 
Jl. MT Haryono Kav 58-60, Pancoran
Pancoran - Jakarta Selatan 
DKI Jakarta Raya 12780",Gudang Logistic - Pulogadung,13007034059000,,"Tel : (021) 27536800, Fax.27536868",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:10:50,
9,1,IKRAR MANDIRIABADI,IKRAR MANDIRIABADI,"Jl. Ciledug Raya No.12 RT.002/001
Petukangan Utara - Pesanggrahan
Jakarta Selatan - DKI Jakarta","Jl. Inspeksi Kalimalang, Desa Cibuntu, Cibitung",13335013013000,,"(021) 8831448, fax 53123758",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:10:27,
10,1,INDONESIA MULTI COLOUR PRINTING,INDONESIA MULTI COLOUR PRINTING,"Jl. Rungkut Industri I No. 10, RT 01RW 05
Kendang sari -  Tenggilis Mejoyo
Surabaya","Jl. Rungkut Industri I No. 10, RT 01RW 05
Kendang sari -  Tenggilis Mejoyo
Surabaya",11085222631000,,"(031) 8438702, Fax 8438379",,,,True,1,CUSTOMER,0,False,2014-12-19 08:55:50,2014-12-22 12:10:50,
