Id,BaseSku,SkuUsedCore,SkuNewCore,UsedCoreItemId,NewCoreItemId,UoMId,MachineId,CoreBuilderTypeCase,Name,Description,CD,TL,IsDeleted,CreatedAt,UpdatedAt,DeletedAt
1,CRE0,CRE0U,CRE0N,1597,1598,1,1,None,Dummy Core,,0,0,False,2014-12-19 09:05:42,,
2,CRE1,CRE1U,CRE1N,1599,1600,1,7,None,Steel Core Heidelberg GTO 52 CD 25/TL 596 - 212601,,0,0,False,2014-12-19 09:05:43,,
3,CRE2,CRE2U,CRE2N,1601,1602,1,7,Shaft,Steel Core Heidelberg GTO 52 DDS CD 25/TL 596 - 212602,,25,596,False,2014-12-19 09:05:43,2015-03-26 15:36:30,
4,CRE3,CRE3U,CRE3N,1603,1604,1,315,None,Steel Core Heidelberg GTO 52 - DDS CD 25/TL 596 - 212602,,0,0,False,2014-12-19 09:05:44,,
5,CRE4,CRE4U,CRE4N,1605,1606,1,7,Hollow,Steel Core Heidelberg GTO 52 CD 48/TL 518 - 212603,,48,518,False,2014-12-19 09:05:45,2015-04-23 14:02:25,
6,CRE5,CRE5U,CRE5N,1607,1608,1,7,None,Steel Core Heidelberg GTO 52 CD 48/TL 530 - 212604,,0,0,False,2014-12-19 09:05:46,,
7,CRE6,CRE6U,CRE6N,1609,1610,1,315,None,Steel Core Heidelberg GTO 52 - DDS CD 42/TL 533 - 212607,,0,0,False,2014-12-19 09:05:47,,
8,CRE7,CRE7U,CRE7N,1611,1612,1,7,None,Steel Core Heidelberg GTO 52 CD 32/TL 520 - 212608,,0,0,False,2014-12-19 09:05:48,,
9,CRE8,CRE8U,CRE8N,1613,1614,1,10,None,Steel Core Heidelberg MO CD 32/TL 731 - 212801,,0,0,False,2014-12-19 09:05:49,,
10,CRE9,CRE9U,CRE9N,1615,1616,1,10,None,Steel Core Heidelberg MO CD 48/TL 658 - 212802,,0,0,False,2014-12-19 09:05:50,,
11,CRE10,CRE10U,CRE10N,1617,1618,1,10,Hollow,Steel Core Heidelberg MO CD 65/TL 674 - 212803,,65,674,False,2014-12-19 09:05:51,2015-03-10 14:44:01,
12,CRE11,CRE11U,CRE11N,1619,1620,1,13,None,Steel Core Heidelberg SM 52 CD 36/TL 564 - 213001,,0,0,False,2014-12-19 09:05:52,,
13,CRE12,CRE12U,CRE12N,1621,1622,1,13,Hollow,Steel Core Heidelberg SM 52 CD 42/TL 564 - 213002,,42,564,False,2014-12-19 09:05:53,2015-04-19 16:30:34,
14,CRE13,CRE13U,CRE13N,1623,1624,1,13,None,Steel Core Heidelberg SM 52 CD 32/TL 607.9 - 213003,,0,0,False,2014-12-19 09:05:54,,
15,CRE14,CRE14U,CRE14N,1625,1626,1,13,Shaft,Steel Core Heidelberg SM 52 CD 48/TL 559 - 213004,,48,559,False,2014-12-19 09:05:55,2015-01-23 08:32:46,
16,CRE15,CRE15U,CRE15N,1627,1628,1,13,Shaft,Steel Core Heidelberg SM 52 CD 52/TL 586.5 - 213005,,52,586.5,False,2014-12-19 09:05:56,2015-01-23 08:34:29,
17,CRE16,CRE16U,CRE16N,1629,1630,1,316,Hollow,Steel Core Heidelberg SM 72 CD 55/TL 740 - 213604,,55,740,False,2014-12-19 09:05:57,2015-01-17 11:10:25,
18,CRE17,CRE17U,CRE17N,1631,1632,1,316,Hollow,Steel Core Heidelberg SM 72 CD 84/TL 760 - 213605,,84,760,False,2014-12-19 09:05:58,2015-01-17 11:13:41,
19,CRE18,CRE18U,CRE18N,1633,1634,1,273,None,Steel Core Heidelberg SORM CD 42/TL 802.8 - 213606,,0,0,False,2014-12-19 09:05:59,,
20,CRE19,CRE19U,CRE19N,1635,1636,1,316,None,Steel Core Heidelberg SM 72 CD 42/TL 787 - 213611,,0,0,False,2014-12-19 09:06:01,,
21,CRE20,CRE20U,CRE20N,1637,1638,1,316,None,Steel Core Heidelberg SM 72 CD 52/TL 787 - 213612,,0,0,False,2014-12-19 09:06:02,,
22,CRE21,CRE21U,CRE21N,1639,1640,1,316,Hollow,Steel Core Heidelberg SM 72 CD 42/TL 735 - 213614,,42,735,False,2014-12-19 09:06:03,2015-01-17 11:12:59,
23,CRE22,CRE22U,CRE22N,1641,1642,1,316,None,Steel Core Heidelberg SM 72 CD 34/TL 771.5 - 213616,,0,0,False,2014-12-19 09:06:04,,
24,CRE23,CRE23U,CRE23N,1643,1644,1,14,Hollow,Steel Core Heidelberg SM 74 CD 36/TL 814 - 213701,,36,814,False,2014-12-19 09:06:05,2015-04-15 21:55:22,
25,CRE24,CRE24U,CRE24N,1645,1646,1,14,Hollow,Steel Core Heidelberg SM 74 CD 45/TL 814 - 213702,,45,814,False,2014-12-19 09:06:06,2015-01-17 11:09:39,
26,CRE25,CRE25U,CRE25N,1647,1648,1,12,None,Steel Core Heidelberg PM 74 CD 40/TL 787 - 213703,,0,0,False,2014-12-19 09:06:07,,
