Id,RollerNo,CoreIdentificationId,DetailId,MaterialCase,CoreBuilderId,RollerTypeId,MachineId,RepairRequestCase,RD,CD,RL,WL,TL,GL,GrooveLength,GrooveQTY,IsJobScheduled,IsDelivered,IsRollerBuilt,IsConfirmed,ConfirmationDate,IsDeleted,CreatedAt,UpdatedAt,DeletedAt
1,,1,5,1,564,3,268,1,64,42,1035,1035,1087,0,0,0,False,False,False,False,,True,2014-12-22 15:17:52,2014-12-22 15:26:46,2014-12-23 13:14:22
2,,1,2,1,8,10,268,1,63,42,1035,1035,1087,0,0,0,False,False,False,False,,True,2014-12-22 15:33:59,,2014-12-22 15:34:11
3,66,1,1,1,564,10,268,1,64,42,1035,1035,1087,0,0,0,False,False,False,False,,True,2014-12-23 13:32:14,2014-12-23 13:37:35,2014-12-29 13:54:11
4,66,1,2,1,564,10,268,1,63,42,1035,1035,1087,0,0,0,False,False,False,False,,True,2014-12-23 13:52:31,,2014-12-29 13:54:18
5,78,1,4,1,567,3,268,3,77,55,1040,1040,1040,0,0,0,False,False,False,False,,True,2014-12-24 08:08:46,2014-12-24 10:11:33,2014-12-29 13:54:23
6,21501102,1,1,2,56,12,227,3,64,42,1035,1035,1087,0,0,0,False,False,True,True,2014-12-05,False,2014-12-29 14:03:41,2015-03-05 20:55:20,
7,25200501,2,1,2,200,8,164,3,70,55,1040,1040,1131,0,0,0,False,False,True,True,2014-12-10,False,2015-01-02 08:08:23,2015-01-23 08:54:20,
8,25201601,2,2,2,201,5,164,3,85,67,1065,1065,1186,0,0,0,True,False,False,True,2014-12-10,False,2015-01-06 09:22:30,2015-01-23 08:53:53,
9,25200601,2,3,2,201,11,164,3,90,70,1040,1040,1274,0,0,0,False,False,True,True,2014-12-10,False,2015-01-06 09:28:33,2015-01-23 08:54:21,
10,25200803,2,4,2,202,3,164,3,120.5,102,1050,1045,1145.8,0,0,0,False,False,True,True,2014-12-10,False,2015-01-06 09:30:22,2015-01-23 08:54:22,
11,21501401,3,1,2,60,9,227,3,58,32,1035,1035,1071,0,0,0,False,False,True,True,2014-12-10,False,2015-01-06 09:46:01,2015-03-05 20:43:27,
12,21501102,3,3,2,56,12,227,3,64,42,1035,1035,1086,0,0,0,False,False,True,True,2014-12-10,False,2015-01-06 10:10:17,2015-03-05 20:44:23,
13,21501201,3,4,2,57,12,227,3,70,52,1035,1035,1086,0,0,0,False,False,True,True,2014-12-10,False,2015-01-06 10:11:17,2015-03-05 20:40:59,
14,,4,1,2,334,10,344,3,76,56,1159,1159,1289,0,0,0,True,False,False,True,2014-12-09,False,2015-01-06 10:19:00,2015-01-23 08:53:48,
15,,4,2,2,331,3,344,3,139,104,1160,1160,1352,0,0,0,True,False,False,True,2014-12-09,False,2015-01-06 10:21:32,2015-01-23 08:53:48,
16,,4,3,2,331,3,344,3,139,100,1158,1158,1350,0,0,0,True,False,False,True,2014-12-09,False,2015-01-06 10:22:08,2015-01-23 08:53:48,
17,,4,4,2,331,3,344,1,139,95,1157,1157,1350,0,0,0,True,False,False,True,2014-12-09,False,2015-01-06 10:22:49,2015-01-23 08:53:48,
18,,8,2,2,231,3,155,3,118,89,1080,1080,1266,0,0,0,True,False,False,True,2014-12-17,False,2015-01-06 10:50:44,2015-01-23 08:54:19,
19,21360501,9,1,2,18,4,316,3,108,84,760,760,760,0,0,0,False,False,True,True,2014-12-17,False,2015-01-06 10:53:48,2015-03-05 20:47:58,
20,,10,7,2,468,11,357,1,88,70,990,980,990,0,0,0,False,False,False,False,,False,2015-01-06 11:01:58,2015-01-06 11:04:22,
21,,10,8,2,468,7,357,3,88,70,990,980,990,0,0,0,False,False,False,False,,False,2015-01-06 11:03:26,,
22,,10,9,2,467,3,74,3,95,78,990,980,990,0,0,0,False,False,False,False,,False,2015-01-06 11:05:17,,
23,,10,10,2,468,11,74,3,88,70,990,980,990,0,0,0,False,False,False,False,,False,2015-01-06 11:07:13,,
24,,10,11,2,468,10,74,3,88,70,965,955,990,0,0,0,False,False,False,False,,False,2015-01-06 11:08:06,,
25,,10,12,2,467,10,74,3,95,78,965,955,990,0,0,0,False,False,False,False,,False,2015-01-06 11:08:57,2015-01-06 11:23:30,
