Id,Code,NomorDisassembly,WarehouseId,ContactId,IsInHouse,Quantity,IdentifiedDate,IsConfirmed,ConfirmationDate,IncomingRoll,IsCompleted,IsDeleted,CreatedAt,UpdatedAt,DeletedAt
1,05.12.14A,05.12.14A,1,135,False,10,2014-12-05,True,2014-12-05,2014-12-05,False,False,2014-12-22 15:13:49,2015-01-14 15:19:25,
2,10.12.14B,10.12.14B,1,207,False,4,2014-12-10,True,2014-12-10,2014-12-10,False,False,2015-01-02 07:54:10,2015-01-06 07:29:58,
3,10.12.14C,10.12.14C,1,163,False,6,2014-12-10,True,2014-12-10,2014-12-10,False,False,2015-01-06 09:38:47,2015-01-06 09:39:21,
4,09.12.14B,09.12.14B,1,294,False,4,2014-12-09,True,2014-12-09,2014-12-09,False,False,2015-01-06 10:16:30,2015-01-17 08:17:03,
5,STOCK11.12.14,STOCK11.12.14,1,,True,5,2014-12-11,False,,2014-12-11,False,False,2015-01-06 10:25:09,,
6,16.12.14A,16.12.14A,1,1089,False,2,2014-12-16,False,,2014-12-16,False,False,2015-01-06 10:35:47,,
7,17.12.14D,17.12.14D,1,1164,False,3,2014-12-17,True,2014-12-17,2014-12-17,False,False,2015-01-06 10:41:04,2015-01-17 08:00:26,
8,17.12.14A,17.12.14A,1,331,False,2,2014-12-17,True,2014-12-17,2014-12-17,False,False,2015-01-06 10:46:54,2015-01-17 08:32:00,
9,17.12.14B,17.12.14B,1,1167,False,1,2014-12-17,True,2014-12-17,2014-12-17,False,False,2015-01-06 10:51:54,,
10,12.12.14A,12.12.14A,1,107,False,15,2014-12-12,False,,2014-12-12,False,False,2015-01-06 10:55:29,,
11,11.08.14A,11.08.14A,1,4,False,12,2014-08-11,False,,2014-08-11,False,False,2015-01-07 08:57:21,,
12,08.12.14A,08.12.14A,1,670,False,1,2014-12-08,True,2014-12-08,2014-12-08,False,False,2015-01-07 09:28:59,,
13,09.12.14A,09.12.14A,1,245,False,2,2014-12-09,True,2014-12-09,2014-12-09,False,False,2015-01-07 09:38:51,2015-01-16 15:39:54,
14,11.12.14D,11.12.14D,1,135,False,2,2014-12-11,True,2014-12-11,2014-12-11,False,False,2015-01-07 09:57:23,2015-01-22 03:37:24,
15,11.12.14C,11.12.14C,1,1167,False,1,2014-12-11,True,2014-12-11,2014-12-11,False,False,2015-01-07 10:13:12,2015-01-16 16:01:36,
16,01.10.14B,01.10.14B,1,947,False,2,2014-12-01,True,2014-12-01,2014-12-01,False,False,2015-01-14 16:11:27,,
17,03.12.14B,03.12.14B,1,361,False,2,2014-12-03,True,2014-12-03,2014-12-03,True,False,2015-01-17 08:26:37,2015-03-23 20:36:34,
18,01.12.14A,01.12.14A,1,1163,False,3,2014-12-01,True,2014-12-01,2014-12-01,False,False,2015-01-17 08:26:54,,
19,27.11.14B,27.11.14B,1,55,False,2,2014-12-27,True,2014-12-27,2014-12-27,False,False,2015-01-17 08:40:35,,
20,02.12.14C,02.12.14C,1,108,False,4,2014-12-02,False,,2014-12-02,False,False,2015-01-17 08:42:01,2015-01-17 08:52:29,
21,01.12.14E,01.12.14E,1,206,False,2,2014-12-01,True,2014-12-01,2014-12-01,False,False,2015-01-17 09:24:49,2015-01-17 10:02:04,
22,01.12.14D,01.12.14D,1,172,False,7,2014-12-01,True,2014-12-01,2014-12-01,False,False,2015-01-17 09:26:10,,
23,04.12.14A,04.12.14A,1,136,False,3,2014-12-04,True,2014-12-04,2014-12-04,False,False,2015-01-17 09:37:57,,
24,03.12.14A,03.12.14A,1,94,False,5,2014-12-02,True,2014-12-02,2014-12-02,False,False,2015-01-17 09:42:28,2015-01-17 11:44:24,
25,17.11.14D,17.11.14D,1,107,False,24,2014-11-17,False,,2014-11-17,False,False,2015-01-17 10:02:48,2015-01-19 09:36:27,
26,04.12.14B,04.12.14B,1,227,False,9,2014-12-04,True,2014-12-04,2014-12-04,False,False,2015-01-17 10:06:46,,
27,02.12.14D,02.12.14D,1,1166,False,13,2014-12-02,False,,2014-12-02,False,False,2015-01-17 10:13:18,,
28,31.12.14C,31.12.14C,1,1167,False,1,2014-12-31,True,2014-12-31,2014-12-31,False,False,2015-01-17 10:30:45,,
29,01.12.14C,01.12.14C,1,294,False,4,2014-12-01,True,2014-12-01,2014-12-01,False,False,2015-01-17 10:31:27,,
30,11.12.14B,11.12.14B,1,116,False,4,2014-12-11,True,2014-12-11,2014-12-11,False,False,2015-01-17 10:52:39,,
31,29.12.14B,29.12.14B,1,227,False,3,2014-12-29,True,2014-12-29,2014-12-29,False,False,2015-01-17 10:56:28,,
32,11.12.14E,11.12.14E,1,1167,False,3,2014-12-11,True,2014-12-11,2014-12-11,False,False,2015-01-17 10:59:49,,
33,16.12.14B,16.12.14B,1,170,False,2,2014-12-16,True,2014-12-16,2014-12-16,False,False,2015-01-17 11:04:47,,
