Id,Code,OrderType,OrderCode,DeliveryOrderId,ItemId,Quantity,IsAllInvoiced,PendingInvoicedQuantity,SalesOrderDetailId,COGS,IsConfirmed,ConfirmationDate,IsDeleted,DeletedAt,CreatedAt,UpdatedAt
1,2014.12.11,0,,1,1322,5,False,5,4,0,False,,False,,2014-12-22 14:40:40,2014-12-30 10:46:43
2,2014.12.22,0,,2,394,1,False,1,5,0,False,,False,,2014-12-22 15:04:24,2014-12-30 10:46:50
3,2014.12.33,0,,3,429,2,False,2,1,0,False,,False,,2014-12-22 15:29:22,2014-12-30 10:44:39
4,2014.12.44,0,,4,1211,8,True,0,10,0,True,2014-12-17,False,,2014-12-22 15:36:06,2015-02-04 22:01:51
5,2014.12.55,0,,5,394,5,True,0,15,1398383.25,True,2014-12-03,False,,2014-12-22 15:44:06,2015-02-04 21:58:55
6,2014.12.66,0,,6,432,20,True,0,14,533691.2,True,2014-12-01,False,,2014-12-22 15:54:49,2015-02-04 21:51:37
7,2014.12.77,0,,7,394,1,False,1,3,0,False,,False,,2014-12-22 15:58:14,2014-12-30 10:46:29
8,2014.12.88,0,,8,374,4,False,4,2,0,False,,False,,2014-12-22 16:06:29,2014-12-30 10:47:05
9,2014.12.99,0,,9,411,60,True,0,17,1470417,True,2014-12-10,False,,2014-12-22 16:13:35,2015-02-04 21:48:13
10,2014.12.1010,0,,10,394,5,False,5,11,0,False,,True,2015-02-04 20:32:06,2014-12-22 16:20:11,2014-12-30 10:46:58
11,2014.12.1111,0,,11,414,2,True,0,18,1981121.84,True,2014-12-12,False,,2014-12-22 16:20:12,2015-02-04 21:34:12
12,2014.12.1212,0,,12,429,15,True,0,19,4131347.7,True,2014-12-10,False,,2014-12-22 16:21:27,2015-02-16 22:12:23
13,2014.12.1313,0,,13,395,5,True,0,20,5344656.8,True,2014-12-09,False,,2014-12-22 16:29:50,2015-02-16 22:23:38
14,2014.12.1414,0,,14,377,8,True,0,21,1034567.6,True,2014-12-12,False,,2014-12-22 16:34:26,2015-02-04 21:29:37
15,2014.12.1515,0,,15,402,2,True,0,12,1884490,True,2014-12-15,False,,2014-12-22 16:36:38,2015-02-04 20:29:48
16,2014.12.1616,0,,16,1259,8,True,0,22,5397586.72,True,2014-12-10,False,,2014-12-22 16:40:32,2015-02-04 21:25:10
17,2014.12.1817,0,,18,394,10,True,0,23,2796766.5,True,2014-12-09,False,,2014-12-22 16:51:15,2015-02-04 21:22:03
18,2014.12.1718,0,,17,377,16,True,0,6,2069135.2,True,2014-12-01,False,,2014-12-22 16:51:48,2015-02-04 22:31:26
19,2014.12.1719,0,,17,408,8,True,0,7,612763.2,True,2014-12-01,False,,2014-12-22 16:52:03,2015-02-04 22:31:26
20,2014.12.1720,0,,17,411,180,True,0,8,4411251,True,2014-12-01,False,,2014-12-22 16:52:21,2015-02-04 22:31:26
21,2014.12.1721,0,,17,1227,10,True,0,9,5763408.7,True,2014-12-01,False,,2014-12-22 16:52:51,2015-02-04 22:31:26
22,2014.12.1922,0,,19,383,3,True,0,25,1130694,True,2014-12-08,False,,2014-12-22 17:12:08,2015-02-16 22:42:43
23,2014.12.2023,0,,20,411,60,False,60,24,0,False,,False,,2014-12-22 17:13:11,
24,2014.12.2024,0,,20,1210,10,False,10,26,0,False,,False,,2014-12-22 17:13:25,
25,2014.12.2125,0,,21,1259,4,True,0,27,2698793.36,True,2014-12-05,False,,2014-12-22 17:18:08,2015-02-04 22:12:51
26,2014.12.2226,0,,22,397,8,True,0,28,1833483.6,True,2014-12-04,False,,2014-12-22 17:23:07,2015-02-04 22:10:18
27,2014.12.2327,0,,23,1372,3,True,0,29,2341995.54,True,2014-12-08,False,,2014-12-22 17:25:33,2015-02-04 22:23:50
28,2014.12.2428,0,,24,391,5,True,0,30,2065065.15,True,2014-12-11,False,,2014-12-22 17:30:22,2015-02-04 22:07:39
29,2014.12.2529,0,,25,374,24,True,0,31,3400872.24,True,2014-12-02,False,,2014-12-23 08:34:03,2015-02-04 21:16:23
30,2014.12.2630,0,,26,1545,20,True,0,32,14531241.6,True,2014-12-02,False,,2014-12-23 08:50:48,2015-02-04 21:06:47
31,2014.12.2731,0,,27,1227,10,False,10,16,0,False,,False,,2014-12-23 09:10:30,
32,2014.12.2832,0,,28,411,12,True,0,33,294083.4,True,2014-12-02,False,,2014-12-23 09:15:53,2015-02-04 20:59:47
33,2014.12.2933,0,,29,410,4,True,0,34,213569.28,True,2014-12-02,False,,2014-12-23 09:16:47,2015-02-04 20:56:17
34,2014.12.3034,0,,30,394,1,False,1,35,0,False,,False,,2014-12-23 09:35:08,2014-12-30 10:45:07
35,2014.12.3135,0,,31,418,24,False,24,37,0,False,,False,,2014-12-23 09:49:11,2014-12-30 10:44:55
36,2014.12.3236,0,,32,377,20,False,20,38,0,False,,False,,2014-12-23 09:53:07,
37,2014.12.3237,0,,32,375,20,False,20,39,0,False,,False,,2014-12-23 09:53:17,
38,2014.12.3238,0,,32,411,24,False,24,40,0,False,,False,,2014-12-23 09:53:27,
39,2014.12.3339,0,,33,418,12,True,0,41,2727023.64,True,2014-12-01,False,,2014-12-23 10:02:17,2015-02-16 22:27:18
40,2014.12.3440,0,,34,1264,5,False,5,42,0,False,,False,,2014-12-23 10:06:25,
41,2014.12.3541,0,,35,395,2,True,0,43,2137862.72,True,2014-12-03,False,,2014-12-23 10:11:32,2015-02-16 22:31:19
42,2014.12.3742,0,,37,1414,4,False,4,44,0,False,,False,,2014-12-23 10:14:35,
43,2014.12.3643,0,,36,1226,10,False,10,36,0,False,,False,,2014-12-23 10:15:01,
44,2014.12.3844,0,,38,1211,5,True,0,45,0,True,2014-12-04,False,,2014-12-23 10:23:56,2015-02-04 22:27:49
45,2014.12.3945,0,,39,1383,10,False,10,46,0,False,,False,,2014-12-23 10:35:53,
46,2014.12.4046,0,,40,1211,20,False,20,47,0,False,,False,,2014-12-23 10:35:59,
47,2014.12.4147,0,,41,377,8,False,4,48,0,False,,True,2014-12-23 10:52:30,2014-12-23 10:42:24,2014-12-23 10:52:04
48,2014.12.4147,0,,42,377,8,True,0,48,1485933.76,True,2014-12-04,False,,2014-12-23 10:54:30,2015-02-16 22:35:15
49,2014.12.4248,0,,43,1530,14,True,0,49,16323563.76,True,2014-12-04,False,,2014-12-23 10:57:26,2015-02-04 20:24:51
50,2014.12.4349,0,,44,377,8,True,0,50,1485933.76,True,2014-12-04,False,,2014-12-23 10:59:01,2015-02-16 22:39:25
51,2014.12.4450,0,,45,394,1,True,0,51,279676.65,True,2014-12-04,False,,2014-12-23 11:04:32,2015-02-04 20:41:18
52,2014.12.4551,0,,46,384,3,True,0,52,8491842.24,True,2014-12-04,False,,2014-12-23 11:15:15,2015-02-04 20:17:26
53,2014.12.4652,0,,47,1211,10,True,0,53,0,True,2014-12-04,False,,2014-12-23 11:31:08,2015-02-04 20:21:28
