Id,Name,Description,IsLegacy,AccountId,IsDeleted,CreatedAt,UpdatedAt,DeletedAt
1,AdhesiveBlanket,ADB,False,21,False,2014-12-19 08:55:39,2015-05-08 01:28:07,
2,AdhesiveRoller,ADR,False,22,False,2014-12-19 08:55:39,2015-05-08 01:28:01,
3,Accessory,ACC,False,22,False,2014-12-19 08:55:39,2015-05-08 01:27:56,
4,Bar,BAR,False,21,False,2014-12-19 08:55:39,2015-05-08 01:27:50,
5,Blanket,BLK,True,16,False,2014-12-19 08:55:39,,
6,Bearing,BEA,False,1,True,2014-12-19 08:55:39,2014-12-22 21:09:13,2014-12-23 13:32:14
7,RollBlanket,RBL,False,21,False,2014-12-19 08:55:39,2015-05-11 22:42:28,
8,Chemical,CHM,False,15,False,2014-12-19 08:55:40,2015-05-08 01:26:41,
9,Compound,CMP,False,22,False,2014-12-19 08:55:40,2015-05-08 01:26:35,
10,Core,CRE,True,22,False,2014-12-19 08:55:40,,
11,Underpacking,UPC,False,18,False,2014-12-19 08:55:40,2015-05-08 01:26:21,
12,Roller,ROL,True,17,False,2014-12-19 08:55:40,,
13,Packaging,PCK,False,94,False,2014-12-19 08:55:40,2015-05-08 01:25:57,
14,ATK,ATK,False,106,False,2014-12-19 08:55:40,2015-05-08 01:25:49,
15,IT,IT,False,122,False,2014-12-19 08:55:40,2015-05-08 01:25:43,
16,Core Repair,CRP,False,22,False,2014-12-19 08:55:40,2015-05-08 01:25:37,
17,GA Maintenance Office,GMO,False,120,False,2014-12-19 08:55:40,2015-05-08 01:25:30,
18,GA Supply,GAS,False,116,False,2014-12-19 08:55:40,2015-05-08 01:25:23,
19,Production Consumables,PCC,False,19,False,2014-12-19 08:55:40,2015-05-08 01:25:14,
20,Production Machine Equipment,PME,False,124,False,2014-12-19 08:55:40,2015-05-08 01:25:08,
21,Production Maintenance Machine,PMM,False,124,False,2014-12-19 08:55:40,2015-05-08 01:25:01,
22,Vehicle,VEH,False,52,False,2014-12-19 08:55:40,2015-05-08 01:24:55,
23,Dongkrak - Toe Jack 5 Ton,Masada,False,1,True,2014-12-23 13:52:06,,2014-12-23 13:55:38
24,Bearing 6005 2RSR,FAG,False,1,True,2014-12-23 14:06:09,,2014-12-23 14:14:43
25,Production Warehouse Maintenance,PWM,False,121,False,2015-03-04 20:49:16,2015-05-08 01:24:48,
26,GA Inventory Maintenance,"GIM

perawatan barang inventoris GA",False,122,False,2015-03-04 20:50:26,2015-05-10 20:07:00,
27,Production Machine & Tools,PMC,False,58,False,2015-03-11 16:00:25,2015-05-11 22:50:20,
28,GA Asset,Aset2 khusus barang GA,False,55,False,2015-03-11 21:12:34,2015-05-10 16:30:03,
29,dummy,,False,319,False,2015-04-15 14:55:45,,
30,Vehicle Maintenance,Service Kendaraan,False,123,False,2015-05-14 21:55:14,,
31,Production Supply,Keperluan Produksi,False,116,False,2015-05-17 21:03:57,,
