Id,NomorSurat,ContactId,CurrencyId,Rate,AmountPayable,DPP,Tax,InvoiceDate,IsDeleted,CreatedAt,UpdatedAt,DeletedAt
1,6531,465,1,1,1788209,1625645,162564,2014-10-28,False,2014-12-19 12:13:30,,
2,6540,465,1,1,503269,457517,45752,2014-10-28,False,2014-12-19 12:13:30,,
3,386,925,1,1,365000,365000,0,2014-11-17,False,2014-12-19 12:13:30,,
4,2131,489,1,1,2640000,2400000,240000,2014-11-19,False,2014-12-19 12:13:30,,
5,26272,926,1,1,699000,699000,0,2014-11-19,False,2014-12-19 12:13:30,,
6,1544,924,1,1,559100,559100,0,2014-11-20,False,2014-12-19 12:13:30,,
7,20/11,927,1,1,239000,239000,0,2014-11-24,False,2014-12-19 12:13:30,,
8,26318,926,1,1,1246500,1246500,0,2014-11-25,False,2014-12-19 12:13:30,,
9,-,928,1,1,17091200,17091200,0,2014-11-25,False,2014-12-19 12:13:30,,
10,214010268,929,1,1,2568000,2568000,0,2014-11-25,False,2014-12-19 12:13:30,,
11,214019176,929,1,1,750000,750000,0,2014-11-25,False,2014-12-19 12:13:31,,
12,1715,924,1,1,2205700,2205700,0,2014-11-25,False,2014-12-19 12:13:31,,
13,26336,926,1,1,1951000,1951000,0,2014-11-27,False,2014-12-19 12:13:31,,
14,26-11,930,1,1,250000,250000,0,2014-11-27,False,2014-12-19 12:13:31,,
15,332,931,1,1,6384335,5803941,580394,2014-08-13,False,2014-12-19 12:13:31,,
16,372,931,1,1,979040,890036,89004,2014-08-13,False,2014-12-19 12:13:31,,
17,143068,426,1,1,12936000,11760000,1176000,2014-10-21,False,2014-12-19 12:13:31,,
18,15876150,938,1,1,95835168,87122880,8712288,2014-10-31,False,2014-12-19 12:13:31,,
19,486,931,1,1,1150314,1045740,104574,2014-11-04,False,2014-12-19 12:13:31,,
20,15879841,938,1,1,43562728,39602480,3960248,2014-11-25,False,2014-12-19 12:13:31,,
21,17470,939,1,1,51914478,47194980,4719498,2014-11-25,False,2014-12-19 12:13:31,,
22,81114034,428,1,1,660000,600000,60000,2014-11-27,False,2014-12-19 12:13:31,,
23,87850,933,2,11742,25296,25296,0,2014-08-19,False,2014-12-19 12:13:31,,
24,87851,933,2,11742,29671.6,29671.6,0,2014-08-19,False,2014-12-19 12:13:31,,
25,87858,933,2,11693.99,27330.8,27330.8,0,2014-09-01,False,2014-12-19 12:13:31,,
26,88105,933,2,11973,32894.2,32894.2,0,2014-09-26,False,2014-12-19 12:13:31,,
27,88180,933,2,12020,29805.2,29805.2,0,2014-10-01,False,2014-12-19 12:13:31,,
28,88400,933,2,12172,26681.3,26681.3,0,2014-10-13,False,2014-12-19 12:13:31,,
29,42672,941,3,15533.4,761,761,0,2014-10-22,False,2014-12-19 12:13:31,,
30,88520,933,2,12109,30555.3,30555.3,0,2014-11-05,False,2014-12-19 12:13:31,,
31,14-02276,377,1,1,382580,382580,0,2014-10-31,False,2014-12-19 12:13:31,,
32,30771655,390,1,1,770000,700000,70000,2014-10-31,False,2014-12-19 12:13:31,,
33,20218359,397,1,1,5442485.4,5442485.4,0,2014-11-03,False,2014-12-19 12:13:31,,
34,11-0001,396,1,1,3465000,3465000,0,2014-11-04,False,2014-12-19 12:13:31,,
35,11-0001 DN,396,1,1,3633499,3633499,0,2014-11-04,False,2014-12-19 12:13:31,,
36,11-0010,396,1,1,3740000,3740000,0,2014-11-06,False,2014-12-19 12:13:31,,
37,11-0002,396,1,1,6743400,6743400,0,2014-11-06,False,2014-12-19 12:13:31,,
38,7792,394,1,1,2593000,2593000,0,2014-11-11,False,2014-12-19 12:13:31,,
39,7791,394,1,1,6640096.8,6640096.8,0,2014-11-11,False,2014-12-19 12:13:31,,
40,20221962,397,1,1,9644576.32,9644576.32,0,2014-11-14,False,2014-12-19 12:13:31,,
41,14110705,375,1,1,1386000,1260000,126000,2014-11-18,False,2014-12-19 12:13:31,,
42,191,382,1,1,2257200,2052000,205200,2014-11-20,False,2014-12-19 12:13:31,,
