Id,Code,PurchaseOrderId,ItemId,Quantity,IsAllReceived,PendingReceivalQuantity,Price,IsConfirmed,ConfirmationDate,IsDeleted,DeletedAt,CreatedAt,UpdatedAt
1,2014.12.1.1,1,4955,6,True,0,200000,True,2014-12-17,False,,2014-12-23 10:40:33,2015-01-23 08:54:30
2,2014.12.1.2,1,4956,3,True,0,180000,True,2014-12-17,False,,2014-12-23 10:40:55,2015-01-23 08:54:31
3,2014.12.1.3,1,4957,2,True,0,150000,True,2014-12-17,False,,2014-12-23 10:41:18,2015-01-23 08:54:32
4,2014.12.1.4,1,4958,2,True,0,150000,True,2014-12-17,False,,2014-12-23 10:41:53,2015-01-23 08:54:33
5,2014.12.1.5,1,4959,2,True,0,160000,True,2014-12-17,False,,2014-12-23 10:42:13,2015-01-23 08:54:33
6,2014.12.2.6,2,839,15,False,15,1927875,False,,True,2014-12-23 11:31:01,2014-12-23 11:30:49,
7,2014.12.2.6,2,839,15000,True,0,1927.87,True,2014-12-12,False,,2014-12-23 11:35:47,2015-02-12 21:17:46
8,2014.12.2.7,2,840,9000,True,0,1580.86,True,2014-12-12,False,,2014-12-23 11:36:44,2015-02-12 21:17:46
9,2014.12.3.8,3,827,50,False,50,9000,True,2014-12-12,False,,2014-12-23 11:48:12,
10,2014.12.4.9,4,4960,30,True,0,64000,True,2014-12-16,False,,2014-12-23 13:37:14,2015-02-12 16:58:41
11,2014.12.5.10,5,4962,10,True,0,23000,True,2014-12-12,False,,2014-12-23 14:16:51,2015-02-12 16:38:18
12,2014.12.5.11,5,73,6,True,0,100000,True,2014-12-12,False,,2014-12-23 14:21:44,2015-02-12 16:38:18
13,2014.12.6.12,6,4964,2,True,0,6000000,True,2014-12-16,False,,2014-12-23 14:47:09,2015-01-23 08:54:26
14,2014.12.7.13,7,4965,10,True,0,5.64,True,2014-12-12,False,,2014-12-23 15:11:18,2015-02-12 16:48:04
15,2014.12.8.14,8,4966,72,False,72,71000,False,,True,2014-12-23 15:40:15,2014-12-23 15:28:14,
16,2014.12.8.14,9,4968,1,False,1,1240000,False,,True,2014-12-23 16:04:51,2014-12-23 16:03:43,
17,2014.12.8.14,10,4968,1,True,0,1127273,True,2014-12-11,False,,2014-12-23 16:55:29,2015-02-12 16:50:04
18,2014.12.8.15,10,4969,1,True,0,340909,True,2014-12-11,False,,2014-12-23 16:55:56,2015-02-12 16:50:04
19,2014.12.8.16,10,4970,1,True,0,450000,True,2014-12-11,False,,2014-12-23 16:56:29,2015-02-12 16:50:05
20,2014.12.8.17,10,4971,1,True,0,631818,True,2014-12-11,False,,2014-12-23 16:57:03,2015-02-12 16:50:05
21,2014.12.8.18,10,4972,1,True,0,107273,True,2014-12-11,False,,2014-12-23 17:05:59,2015-02-12 16:50:05
22,2014.12.9.19,11,4975,1,False,1,975000,False,,True,2014-12-24 10:59:36,2014-12-24 10:07:06,2014-12-24 10:58:07
23,2014.12.9.20,11,4976,1,False,1,265000,False,,True,2014-12-24 10:59:40,2014-12-24 10:07:39,2014-12-24 10:58:07
24,2014.12.9.21,11,4977,2,False,2,30000,False,,True,2014-12-24 10:59:44,2014-12-24 10:08:07,2014-12-24 10:58:07
25,2014.12.9.22,11,4978,2,False,2,24000,False,,True,2014-12-24 10:59:48,2014-12-24 10:08:32,2014-12-24 10:58:07
26,2014.12.9.23,11,4979,3,False,3,28000,False,,True,2014-12-24 10:59:52,2014-12-24 10:09:17,2014-12-24 10:58:07
27,2014.12.9.24,11,4980,1,False,1,20000,False,,True,2014-12-24 10:59:56,2014-12-24 10:09:44,2014-12-24 10:58:07
28,2014.12.9.19,12,4975,1,False,1,975000,True,2014-12-22,False,,2014-12-24 11:07:35,2015-02-12 22:13:23
29,2014.12.9.20,12,4976,1,False,1,265000,True,2014-12-22,False,,2014-12-24 11:07:53,2015-02-12 22:13:23
30,2014.12.9.21,12,4977,2,False,2,30000,True,2014-12-22,False,,2014-12-24 11:08:12,2015-02-12 22:13:23
31,2014.12.9.22,12,4978,2,False,2,24000,True,2014-12-22,False,,2014-12-24 11:08:34,2015-02-12 22:13:23
32,2014.12.9.23,12,4979,3,False,3,28000,True,2014-12-22,False,,2014-12-24 11:08:53,2015-02-12 22:13:23
33,2014.12.9.24,12,4980,1,False,1,20000,True,2014-12-22,False,,2014-12-24 11:09:12,2015-02-12 22:13:23
34,2014.12.10.25,13,4982,5,False,5,420000,True,2014-12-11,False,,2014-12-24 11:22:32,
35,2014.12.11.26,14,4974,10,True,0,258,True,2014-12-03,False,,2014-12-24 11:27:41,2015-01-23 08:53:44
36,2014.12.12.27,15,4983,10,True,0,19000,True,2014-12-02,False,,2014-12-24 11:36:11,2015-02-12 16:29:06
37,2014.12.12.28,15,4962,10,True,0,23000,True,2014-12-02,False,,2014-12-24 11:36:41,2015-02-12 16:29:06
38,2014.12.13.29,16,4984,8,True,0,230,True,2014-12-03,False,,2014-12-24 11:55:02,2015-01-23 08:53:45
39,2014.12.13.30,16,4974,10,True,0,258,True,2014-12-03,False,,2014-12-24 11:55:22,2015-01-23 08:53:46
40,2014.12.14.31,17,4985,500,True,0,6350,True,2014-12-01,False,,2014-12-24 13:54:53,2015-02-12 19:33:32
41,2014.12.15.32,18,4987,20,True,0,30100,True,2014-12-22,False,,2014-12-24 14:10:52,2015-02-12 19:36:17
42,2014.12.15.33,18,4986,10,True,0,27500,True,2014-12-22,False,,2014-12-24 14:11:39,2015-02-12 19:36:17
