Id,Code,PurchaseReceivalId,ItemId,Quantity,IsAllInvoiced,PendingInvoicedQuantity,PurchaseOrderDetailId,COGS,IsConfirmed,ConfirmationDate,IsDeleted,DeletedAt,CreatedAt,UpdatedAt
1,2015.1.1.1,3,4955,6,False,6,1,600000,True,2014-12-22,False,,2015-01-19 04:33:05,
2,2015.1.1.2,3,4956,3,False,3,2,270000,True,2014-12-22,False,,2015-01-19 04:33:14,
3,2015.1.1.3,3,4957,2,False,2,3,150000,True,2014-12-22,False,,2015-01-19 04:33:23,
4,2015.1.1.4,3,4958,2,False,2,4,150000,True,2014-12-22,False,,2015-01-19 04:33:31,
5,2015.1.1.5,3,4959,2,False,2,5,160000,True,2014-12-22,False,,2015-01-19 04:33:40,
6,2015.1.2.6,4,4964,2,False,2,13,6000000,True,2014-12-19,False,,2015-01-19 05:48:52,2015-01-19 06:09:02
7,2015.1.3.7,5,4985,500,False,500,40,1587500,True,2014-12-30,False,,2015-01-19 06:12:25,
8,2015.1.4.8,7,100,300,False,300,139,4006900.2,True,2014-12-02,False,,2015-01-19 11:04:17,
9,2015.1.4.9,7,120,100,False,100,140,988260.33,True,2014-12-02,False,,2015-01-19 11:04:43,
10,2015.1.4.10,7,123,100,False,100,141,1110356.29,True,2014-12-02,False,,2015-01-19 11:04:54,
11,2015.1.4.11,7,124,300,False,300,142,1479727.76,True,2014-12-02,False,,2015-01-19 11:05:09,
12,2015.1.4.12,7,129,300,False,300,143,1932934.42,True,2014-12-02,False,,2015-01-19 11:05:25,
13,2015.1.4.13,7,131,400,False,400,144,5288702.86,True,2014-12-02,False,,2015-01-19 11:06:25,
14,2015.1.4.14,7,132,300,False,300,145,2546925.36,True,2014-12-02,False,,2015-01-19 11:06:35,
15,2015.1.4.15,7,133,100,False,100,146,2057540.52,True,2014-12-02,False,,2015-01-19 11:06:44,
16,2015.1.4.16,7,146,400,False,400,147,4594171.98,True,2014-12-02,False,,2015-01-19 11:06:54,
17,2015.1.4.17,7,147,200,False,200,148,2513818.55,True,2014-12-02,False,,2015-01-19 11:07:13,
18,2015.1.4.18,7,156,300,False,300,149,5233953.96,True,2014-12-02,False,,2015-01-19 11:07:22,
19,2015.1.4.19,7,163,100,False,100,150,2261261.16,True,2014-12-02,False,,2015-01-19 11:08:23,
20,2015.1.4.20,7,171,100,False,100,151,1169328.72,True,2014-12-02,False,,2015-01-19 11:09:00,
21,2015.1.4.21,7,188,100,False,100,152,1178634.69,True,2014-12-02,False,,2015-01-19 11:09:11,
22,2015.1.4.22,7,190,300,False,300,153,1841972.8,True,2014-12-02,False,,2015-01-19 11:09:22,
23,2015.1.4.23,7,194,100,False,100,154,1089309.89,True,2014-12-02,False,,2015-01-19 11:09:37,
24,2015.1.4.24,7,217,200,False,200,155,3718462.86,True,2014-12-02,False,,2015-01-19 11:09:49,
25,2015.1.4.25,7,220,3000,False,3000,156,31836567,True,2014-12-02,False,,2015-01-19 11:10:09,
26,2015.1.4.26,7,221,200,False,200,157,4223545.2,True,2014-12-02,False,,2015-01-19 11:10:21,
27,2015.1.4.27,7,222,300,False,300,158,6510817.07,True,2014-12-02,False,,2015-01-19 11:10:33,
28,2015.1.5.28,8,4974,10,True,0,35,31455177.6,True,2014-12-09,False,,2015-01-21 04:56:47,2015-03-10 23:57:47
29,2015.1.6.29,9,4984,8,True,0,38,11185360,True,2014-12-09,False,,2015-01-21 05:03:07,2015-03-10 23:57:13
