Id,Code,PurchaseOrderId,ReceivalDate,WarehouseId,NomorSurat,Description,ExchangeRateAmount,ExchangeRateId,TotalCOGS,TotalAmount,IsConfirmed,ConfirmationDate,IsInvoiceCompleted,IsDeleted,DeletedAt,CreatedAt,UpdatedAt
1,2015.1.1,1,2015-01-06,1,3242423,,0,,0,0,False,,False,True,2015-01-06 14:43:04,2015-01-06 14:42:45,
2,2015.1.1,1,2014-12-22,2,14073,,0,,0,0,False,,False,True,2015-01-19 04:30:36,2015-01-19 04:28:48,
3,2015.1.1,1,2014-12-22,1,114/XII/14,,1,,1330000,2660000,True,2014-12-22,False,False,,2015-01-19 04:32:04,2015-01-23 08:54:30
4,2015.1.2,6,2014-12-19,1,113/XII/14,,1,,6000000,12000000,True,2014-12-19,False,False,,2015-01-19 05:47:49,2015-01-23 08:54:25
5,2015.1.3,17,2014-12-30,1,118/XII/14,,1,,1587500,3175000,True,2014-12-30,False,False,,2015-01-19 06:08:20,2015-02-12 19:33:32
6,2015.1.4,2,2014-12-30,1,119/XII/14,,0,,0,0,False,,False,True,2015-01-19 09:13:14,2015-01-19 06:13:03,
7,2015.1.4,51,2014-12-02,3,064/XII/14/E16,,15160.27,4,85583191.7,8303,True,2014-12-02,False,False,,2015-01-19 11:04:00,2015-01-23 08:53:10
8,2015.1.5,14,2014-12-09,2,BPB/071/XII/14,,12158,6,31455177.6,2580,True,2014-12-09,True,False,,2015-01-21 04:55:58,2015-03-10 23:57:47
9,2015.1.6,16,2014-12-09,2,BPB/072/XII/15,,12158,6,42617501.38,4420,True,2014-12-09,True,False,,2015-01-21 05:01:44,2015-03-10 23:57:14
10,2015.1.7,57,2014-11-05,2,BPB/067/XI/14,,0,,0,0,False,,False,True,2015-01-27 14:57:15,2015-01-27 14:46:13,
11,2015.1.7,56,2014-12-04,2,BPB/070/XII/14,,12158,6,245332773.19,24272.8,True,2014-12-04,False,False,,2015-01-27 15:06:38,2015-01-29 10:06:17
12,2015.1.8,27,2014-12-12,2,BPB/073/XII/14,,15160.27,4,514691.16,67.9,True,2014-12-12,False,False,,2015-01-29 10:12:45,2015-01-29 10:14:29
13,2015.1.9,57,2014-12-12,2,BPB/074/XII/14,,12158,6,431309333.05,33004,True,2014-12-12,False,False,,2015-01-29 10:15:34,2015-01-29 10:24:11
14,2015.1.10,61,2014-12-29,2,BPB/075/XII/14,,15160.27,4,9467595.01,667,True,2014-12-12,False,False,,2015-01-29 10:20:56,2015-01-29 10:22:49
15,2015.1.11,28,2015-01-02,2,BPB/001/XII/15,,15160.27,4,686254.87,67.9,True,2015-01-02,False,False,,2015-01-29 10:28:41,2015-01-29 10:35:31
16,2015.1.12,41,2015-01-08,2,BPB/002/I/15,,12158,6,14038437.33,1624,True,2015-01-08,False,False,,2015-01-29 10:37:00,2015-01-29 10:37:57
17,2015.1.13,40,2015-01-08,2,BPB/003/I/15,,12158,6,60926681.4,4840,True,2015-01-08,False,False,,2015-01-29 10:39:18,2015-01-29 10:43:24
18,2015.1.14,44,2015-01-15,2,BPB/004/I/15,,12158,6,61760538.9,4800,True,2015-01-15,False,False,,2015-01-29 10:41:43,2015-02-12 19:33:22
19,2015.1.15,28,2015-01-29,2,BPB/005/I/15,,0,,0,0,False,,False,False,,2015-01-29 10:45:17,2015-01-29 10:49:45
20,2015.1.16,22,2015-01-20,2,BPB/006/I/15,,1,,8820000,17640000,True,2015-01-20,False,False,,2015-01-29 10:52:49,2015-01-30 13:25:38
21,2015.1.17,26,2015-01-20,2,BPB/007/I/15,,12158,6,403682364.84,34829.1,True,2015-01-20,False,False,,2015-01-29 10:57:02,2015-01-29 11:41:03
22,2015.2.1,54,2014-12-05,3,065/XII/14/E16,,15160.27,4,7447482.63,982.5,True,2014-12-05,False,False,,2015-02-09 15:07:54,2015-02-09 15:11:24
23,2015.2.2,55,2014-12-05,3,065/XII/14/E16-1,,15160.27,4,742853.23,100,True,2014-12-05,False,False,,2015-02-09 15:10:33,2015-02-09 15:11:14
24,2015.2.3,36,2014-12-10,1,106/XII/14,,15160.27,4,236392779.71,15692.95,True,2014-12-10,False,False,,2015-02-09 16:27:50,2015-02-09 17:53:40
25,2015.2.4,59,2015-02-10,3,066/XII/14/E16,,0,,0,0,False,,False,True,2015-02-09 17:46:21,2015-02-09 17:45:04,
26,2015.2.4,59,2014-12-08,3,066/XII/14/E16,,12158,6,0,3170.71,False,,False,True,2015-03-11 15:12:49,2015-02-09 18:00:38,2015-03-11 15:12:06
27,2015.2.5,67,2015-01-29,2,BPB/008/I/15,,12158,6,626812.44,116,True,2015-01-29,False,False,,2015-02-10 16:30:13,2015-02-10 16:31:34
