Id,ReceiptVoucherId,ReceivableId,Code,Rate,Amount,AmountPaid,PPH23,Description,IsConfirmed,ConfirmationDate,IsDeleted,CreatedAt,UpdatedAt,DeletedAt
1,1,1053,2015.1.1.1,1,85053.31,85053.31,0,,False,,True,2015-01-27 16:38:06,2015-01-27 16:42:22,2015-01-27 16:44:19
2,1,1053,2015.1.1.1,1,85053.31,85053.31,0,,False,,True,2015-01-27 16:45:38,2015-01-28 10:04:26,2015-01-30 16:06:36
3,2,978,2015.1.2.2,1,7260000,7260000,0,,False,,True,2015-01-27 16:51:57,2015-01-30 16:04:38,2015-01-30 16:06:45
4,3,140,2015.1.3.3,1,3532.1,3532.1,0,,False,,True,2015-01-28 10:07:49,,2015-01-28 10:12:23
5,4,262,2015.1.4.3,1,5500000,5500000,0,,False,,True,2015-01-28 10:14:16,2015-01-30 16:06:05,2015-01-30 16:07:01
6,5,263,2015.1.4.4,1,8492000,8492000,0,,False,,True,2015-01-28 10:17:03,2015-01-30 16:06:10,2015-01-30 16:07:16
7,6,264,2015.1.5.5,1,2376000,2376000,0,,False,,True,2015-01-28 10:19:27,2015-01-30 16:06:00,2015-01-30 16:07:25
8,7,265,2015.1.6.6,1,4400000,4400000,0,,False,,True,2015-01-28 10:21:13,2015-01-30 16:04:43,2015-01-30 16:07:39
9,8,266,2015.1.7.7,1,1386000,1386000,0,,False,,True,2015-01-28 10:22:21,2015-01-30 16:04:54,2015-01-30 16:07:48
10,9,267,2015.1.8.8,1,19254400,19254400,0,,False,,True,2015-01-28 10:23:35,2015-01-30 16:04:58,2015-01-30 16:07:58
11,10,268,2015.1.9.9,1,3245000,3245000,0,,False,,True,2015-01-28 10:25:13,2015-01-30 16:05:03,2015-01-30 16:08:05
12,11,272,2015.1.10.10,1,1927200,1927200,0,,False,,True,2015-01-28 10:26:18,2015-01-30 16:05:09,2015-01-30 16:08:11
13,12,274,2015.1.11.11,1,1672000,1672000,0,,False,,True,2015-01-28 10:27:16,2015-01-30 16:05:13,2015-01-30 16:08:18
14,13,275,2015.1.12.12,1,858000,858000,0,,False,,True,2015-01-28 10:28:10,2015-01-30 16:05:17,2015-01-30 16:08:24
15,14,276,2015.1.13.13,1,27390000,27390000,0,,False,,True,2015-01-28 10:29:16,2015-01-30 16:05:21,2015-01-30 16:08:32
16,15,278,2015.1.14.14,1,3696000,3696000,0,,False,,True,2015-01-28 10:32:29,2015-01-30 16:05:27,2015-01-30 16:08:38
17,16,279,2015.1.15.15,1,1672000,1672000,0,,False,,True,2015-01-28 10:33:21,2015-01-30 16:05:32,2015-01-30 16:08:45
18,17,280,2015.1.16.16,1,15290000,15290000,0,,False,,True,2015-01-28 10:34:23,2015-01-30 16:05:36,2015-01-30 16:08:54
19,18,281,2015.1.17.17,1,739200,739200,0,,False,,True,2015-01-28 10:35:12,2015-01-30 16:05:40,2015-01-30 16:09:01
20,19,282,2015.1.18.18,1,3036000,3036000,0,,False,,True,2015-01-28 10:36:10,2015-01-30 16:05:44,2015-01-30 16:09:08
21,20,270,2015.1.19.19,1,20754800,20754800,0,,False,,True,2015-01-28 10:37:16,2015-01-30 16:05:49,2015-01-30 16:09:15
22,10,269,2015.1.9.20,1,49,49,0,,False,,True,2015-01-28 10:38:15,,2015-01-28 10:38:20
23,21,2562,2015.2.1.1,1,100000,100000,0,PELUNASAN,False,,True,2015-02-02 16:26:30,2015-02-02 16:31:31,2015-02-02 16:32:14
24,24,1086,2015.2.1.1,1,10031078.75,10031078.75,0,Pel.DPP+PPN 002.14.87583022,False,,True,2015-02-04 14:17:04,2015-02-04 14:20:33,2015-02-04 14:20:48
25,24,1087,2015.2.1.2,1,4299033.75,4299033.75,0,Pel.DPP+PPN.002.14.87583028,False,,True,2015-02-04 14:17:45,2015-02-04 14:20:33,2015-02-04 14:20:51
26,29,1053,2015.2.1.1,1,85053.31,85053.31,0,,True,2014-12-01,False,2015-02-10 16:28:14,2015-02-10 16:34:35,
27,30,978,2015.2.2.2,1,7260000,7260000,0,,False,,True,2015-02-10 16:40:29,2015-02-10 16:41:58,2015-02-10 16:43:13
28,31,972,2015.2.3.2,1,19052000,19052000,0,,True,2014-12-01,False,2015-02-10 16:46:35,,
29,32,1131,2015.2.4.3,1,4870800,4870800,0,,True,2014-12-01,False,2015-02-10 16:50:57,2015-02-10 16:51:10,
30,36,798,2015.2.6.4,1,88566288.8,88566288.8,0,,True,2014-12-29,False,2015-02-10 17:05:04,,
31,36,799,2015.2.6.5,1,14300000,14300000,0,,True,2014-12-29,False,2015-02-10 17:05:39,,
32,36,800,2015.2.6.6,1,14242800,14242800,0,,True,2014-12-29,False,2015-02-10 17:06:00,,
33,38,23,2015.2.6.7,1,3770069.05,3770069.05,0,,False,,True,2015-02-10 17:11:10,2015-02-10 17:15:53,2015-02-10 17:16:12
34,36,801,2015.2.6.7,1,63965405.9,63965405.9,0,,True,2014-12-29,False,2015-02-10 17:25:30,,
35,36,802,2015.2.6.8,1,65690028.8,65690028.8,0,,True,2014-12-29,False,2015-02-10 17:26:08,,
36,36,803,2015.2.6.9,1,64956478.4,64956478.4,0,,True,2014-12-29,False,2015-02-10 17:26:50,,
37,36,804,2015.2.6.10,1,53962697.8,53962697.8,0,,True,2014-12-29,False,2015-02-10 17:27:35,,
38,36,805,2015.2.6.11,1,37243800,37243800,0,,True,2014-12-29,False,2015-02-10 17:28:02,,
39,30,978,2015.2.2.12,1,7260000,7260000,0,,True,2014-12-01,False,2015-02-10 17:34:48,,
40,39,757,2015.2.6.13,1,1056000,1056000,0,,True,2014-12-01,False,2015-02-10 17:36:47,,
41,42,687,2015.2.7.14,1,3520000,3520000,0,,True,2014-12-02,False,2015-02-10 17:50:18,,
42,43,890,2015.2.8.15,1,7216000,7216000,0,,True,2014-12-02,False,2015-02-10 17:52:48,,
43,43,891,2015.2.8.16,1,5060000,5060000,0,,True,2014-12-02,False,2015-02-10 17:53:12,,
44,43,892,2015.2.8.17,1,55000,55000,0,BAYAR SEBAGIAN,True,2014-12-02,False,2015-02-10 17:53:54,,
45,44,1118,2015.2.9.18,1,4653000,4653000,0,,True,2014-12-02,False,2015-02-10 17:56:38,,
46,46,649,2015.2.10.19,1,138,138,0,PPN,False,,True,2015-02-10 18:00:50,2015-02-10 18:01:43,2015-02-10 18:02:53
47,46,649,2015.2.10.19,1,138,138,0,,False,,True,2015-02-10 18:03:20,,2015-02-10 18:03:37
48,47,1086,2015.2.10.19,1,10031078.75,10031078.75,0,,True,2014-12-02,False,2015-02-10 19:11:35,,
49,47,1087,2015.2.10.20,1,4299033.75,4299033.75,0,,True,2014-12-02,False,2015-02-10 19:11:56,,
50,48,41,2015.2.11.21,1,10230000,10230000,0,,True,2014-12-02,False,2015-02-10 19:16:39,,
51,49,23,2015.2.12.22,1,3770069.05,3770069.05,0,,True,2014-12-02,False,2015-02-10 19:18:39,,
52,50,516,2015.2.13.23,1,3036000,3036000,0,,True,2014-12-02,False,2015-02-10 19:26:17,2015-02-10 19:26:36,
53,54,671,2015.2.14.24,1,1650000,1650000,0,,True,2014-12-04,False,2015-02-10 19:40:41,2015-02-10 19:41:19,
54,54,672,2015.2.14.25,1,6600000,6600000,0,,True,2014-12-04,False,2015-02-10 19:41:05,2015-02-10 19:41:26,
55,56,270,2015.2.16.26,1,20754800,20754800,377360,,True,2014-12-05,False,2015-02-10 19:48:10,2015-02-10 20:04:02,
56,56,273,2015.2.16.27,1,3187800,3187800,57960,,True,2014-12-05,False,2015-02-10 19:48:36,2015-02-10 20:04:02,
57,56,259,2015.2.16.28,1,5381200,5381200,0,,True,2014-12-05,False,2015-02-10 19:48:56,2015-02-10 20:04:02,
58,56,260,2015.2.16.29,1,8091600,8091600,0,,True,2014-12-05,False,2015-02-10 19:49:15,2015-02-10 20:04:02,
59,56,261,2015.2.16.30,1,2068000,2068000,0,,True,2014-12-05,False,2015-02-10 19:49:33,2015-02-10 20:04:02,
60,56,262,2015.2.16.31,1,5500000,5500000,0,,True,2014-12-05,False,2015-02-10 19:49:53,2015-02-10 20:04:02,
61,56,263,2015.2.16.32,1,8492000,8492000,0,,True,2014-12-05,False,2015-02-10 19:50:10,2015-02-10 20:04:02,
62,56,264,2015.2.16.33,1,2376000,2376000,0,,True,2014-12-05,False,2015-02-10 19:50:35,2015-02-10 20:04:02,
63,56,265,2015.2.16.34,1,4400000,4400000,0,,True,2014-12-05,False,2015-02-10 19:50:53,2015-02-10 20:04:02,
64,56,266,2015.2.16.35,1,1386000,1386000,0,,True,2014-12-05,False,2015-02-10 19:51:10,2015-02-10 20:04:02,
65,56,267,2015.2.16.36,1,19254400,19254400,0,,True,2014-12-05,False,2015-02-10 19:51:27,2015-02-10 20:04:02,
66,56,268,2015.2.16.37,1,3245000,3245000,0,,True,2014-12-05,False,2015-02-10 19:51:46,2015-02-10 20:04:02,
67,56,272,2015.2.16.38,1,1927200,1927200,0,,True,2014-12-05,False,2015-02-10 19:52:10,2015-02-10 20:04:02,
68,56,274,2015.2.16.39,1,1672000,1672000,0,,True,2014-12-05,False,2015-02-10 19:52:32,2015-02-10 20:04:02,
69,56,275,2015.2.16.40,1,858000,858000,0,,True,2014-12-05,False,2015-02-10 19:53:06,2015-02-10 20:04:03,
70,56,276,2015.2.16.41,1,27390000,27390000,0,,True,2014-12-05,False,2015-02-10 19:53:51,2015-02-10 20:04:03,
71,56,278,2015.2.16.42,1,3696000,3696000,0,,True,2014-12-05,False,2015-02-10 19:54:14,2015-02-10 20:04:03,
72,56,279,2015.2.16.43,1,1672000,1672000,0,,True,2014-12-05,False,2015-02-10 19:54:32,2015-02-10 20:04:03,
73,56,280,2015.2.16.44,1,15290000,15290000,0,,True,2014-12-05,False,2015-02-10 19:54:51,2015-02-10 20:04:03,
74,56,281,2015.2.16.45,1,739200,739200,0,,True,2014-12-05,False,2015-02-10 19:55:10,2015-02-10 20:04:03,
75,56,282,2015.2.16.46,1,3036000,3036000,0,,True,2014-12-05,False,2015-02-10 19:55:30,2015-02-10 20:04:03,
76,58,758,2015.2.17.47,1,3361600,3361600,0,,True,2014-12-05,False,2015-02-10 20:07:28,2015-02-10 20:08:30,
77,59,269,2015.2.18.48,1,49442800,49442800,898960,,True,2014-12-05,False,2015-02-10 20:11:07,,
78,59,277,2015.2.18.49,1,45465200,45465200,826640,,True,2014-12-05,False,2015-02-10 20:11:30,,
79,59,284,2015.2.18.50,1,3538700,3538700,64340,,True,2014-12-05,False,2015-02-10 20:11:51,,
80,59,271,2015.2.18.51,1,83730900,83730900,0,,True,2014-12-05,False,2015-02-10 20:12:11,,
81,60,128,2015.2.19.52,1,1980000,1980000,0,,True,2014-12-05,False,2015-02-10 20:14:09,,
82,62,967,2015.2.20.53,1,1034000,1034000,0,,True,2014-12-08,False,2015-02-10 20:17:35,,
83,63,966,2015.2.21.54,1,990000,990000,0,,True,2014-12-08,False,2015-02-10 20:18:53,,
84,64,72,2015.2.22.55,1,6897000,6897000,125400,,True,2014-12-08,False,2015-02-10 20:21:33,,
85,64,73,2015.2.22.56,1,77684200,77684200,1412440,,True,2014-12-08,False,2015-02-10 20:21:57,,
86,65,94,2015.2.23.57,1,1830400,1830400,0,,True,2014-12-10,False,2015-02-10 20:24:47,,
87,66,1132,2015.2.24.58,1,4070000,4070000,0,,True,2014-12-08,False,2015-02-10 20:26:06,,
88,67,892,2015.2.25.59,1,5005000,5005000,0,,True,2014-12-10,False,2015-02-10 20:27:34,,
89,67,893,2015.2.25.60,1,3795000,3795000,0,,True,2014-12-10,False,2015-02-10 20:27:53,,
90,67,894,2015.2.25.61,1,7317200,7317200,0,,True,2014-12-10,False,2015-02-10 20:28:12,,
91,67,895,2015.2.25.62,1,3795000,3795000,0,,True,2014-12-10,False,2015-02-10 20:28:27,,
92,67,896,2015.2.25.63,1,2530000,2530000,0,,True,2014-12-10,False,2015-02-10 20:28:42,,
93,68,688,2015.2.25.64,1,4620000,4620000,0,,True,2014-12-10,False,2015-02-10 20:31:00,,
94,70,77,2015.2.26.65,1,18095000,18095000,0,,True,2014-12-11,False,2015-02-10 20:35:03,,
95,71,795,2015.2.27.66,1,18400000,18400000,0,,True,2014-12-11,False,2015-02-10 20:37:20,,
96,72,666,2015.2.28.67,1,23320000,23320000,0,,True,2014-12-11,False,2015-02-10 20:39:43,,
97,73,24,2015.2.29.68,1,30529611.2,30529611.2,0,,True,2014-12-11,False,2015-02-10 20:41:23,2015-02-10 20:41:39,
98,75,1089,2015.2.30.69,1,13012745.62,13012745.62,0,,True,2014-12-11,False,2015-02-10 20:44:51,2015-02-10 20:46:46,
99,75,1090,2015.2.30.70,1,4337581.87,4337581.87,0,,True,2014-12-11,False,2015-02-10 20:45:13,2015-02-10 20:46:46,
100,76,306,2015.2.31.71,1,23733600,23733600,431520,,True,2014-12-12,False,2015-02-10 20:51:56,2015-02-10 20:53:12,
101,76,317,2015.2.31.72,1,3999600,3999600,72720,,True,2014-12-12,False,2015-02-10 20:52:21,2015-02-10 20:53:38,
102,76,318,2015.2.31.73,1,16804700,16804700,305540,,True,2014-12-12,False,2015-02-10 20:52:44,2015-02-10 20:54:01,
103,76,302,2015.2.31.74,1,14866500,14866500,0,,True,2014-12-12,False,2015-02-10 20:54:28,,
104,76,303,2015.2.31.75,1,18700000,18700000,0,,True,2014-12-12,False,2015-02-10 20:54:47,,
105,76,307,2015.2.31.76,1,20680000,20680000,0,,True,2014-12-12,False,2015-02-10 20:55:08,,
106,76,308,2015.2.31.77,1,8852800,8852800,0,,True,2014-12-12,False,2015-02-10 20:55:39,,
107,76,309,2015.2.31.78,1,3421000,3421000,0,,True,2014-12-12,False,2015-02-10 20:55:58,,
108,76,310,2015.2.31.79,1,7617500,7617500,0,,True,2014-12-12,False,2015-02-10 20:56:24,,
109,76,312,2015.2.31.80,1,3636600,3636600,0,,True,2014-12-12,False,2015-02-10 20:56:53,,
110,76,313,2015.2.31.81,1,11440000,11440000,0,,True,2014-12-12,False,2015-02-10 20:57:14,,
111,76,314,2015.2.31.82,1,10348800,10348800,0,,True,2014-12-12,False,2015-02-10 20:57:36,,
112,76,315,2015.2.31.83,1,1856800,1856800,0,,True,2014-12-12,False,2015-02-10 20:57:57,,
113,76,316,2015.2.31.84,1,4620000,4620000,0,,True,2014-12-12,False,2015-02-10 20:58:17,,
114,76,319,2015.2.31.85,1,21771200,21771200,0,,True,2014-12-12,False,2015-02-10 20:58:39,,
115,76,320,2015.2.31.86,1,5200800,5200800,0,,True,2014-12-12,False,2015-02-10 20:59:34,,
116,76,321,2015.2.31.87,1,2552000,2552000,0,,True,2014-12-12,False,2015-02-10 21:00:24,,
117,76,323,2015.2.31.88,1,8580000,8580000,0,,True,2014-12-12,False,2015-02-10 21:00:53,,
118,76,325,2015.2.31.89,1,4477000,4477000,0,,True,2014-12-12,False,2015-02-10 21:01:27,,
119,76,327,2015.2.31.90,1,3718000,3718000,0,,True,2014-12-12,False,2015-02-10 21:02:05,,
120,77,322,2015.2.32.91,1,11949300,11949300,217260,,True,2014-12-12,False,2015-02-10 21:06:47,,
121,77,331,2015.2.32.92,1,22862400,22862400,415680,,True,2014-12-12,False,2015-02-10 21:07:24,,
122,77,343,2015.2.32.93,1,21743700,21743700,395340,,True,2014-12-12,False,2015-02-10 21:07:59,,
123,77,324,2015.2.32.94,1,14300000,14300000,0,,True,2014-12-12,False,2015-02-10 21:08:19,,
124,77,326,2015.2.32.95,1,770000,770000,0,,True,2014-12-12,False,2015-02-10 21:08:55,,
125,77,328,2015.2.32.96,1,7900200,7900200,0,,True,2014-12-12,False,2015-02-10 21:09:14,,
126,77,329,2015.2.32.97,1,3762000,3762000,0,,True,2014-12-12,False,2015-02-10 21:09:33,,
127,77,330,2015.2.32.98,1,259600,259600,0,,True,2014-12-12,False,2015-02-10 21:09:53,,
128,77,334,2015.2.32.99,1,3071200,3071200,0,,True,2014-12-12,False,2015-02-10 21:10:11,,
129,77,336,2015.2.32.100,1,2384800,2384800,0,,True,2014-12-12,False,2015-02-10 21:10:31,,
130,77,337,2015.2.32.101,1,198000,198000,0,,True,2014-12-12,False,2015-02-10 21:10:53,,
131,77,338,2015.2.32.102,1,1804000,1804000,0,,True,2014-12-12,False,2015-02-10 21:11:12,,
132,77,333,2015.2.32.103,1,11440000,11440000,0,,True,2014-12-12,False,2015-02-10 21:11:36,,
133,77,335,2015.2.32.104,1,11440000,11440000,0,,True,2014-12-12,False,2015-02-10 21:11:56,,
134,77,339,2015.2.32.105,1,1804000,1804000,0,,True,2014-12-12,False,2015-02-10 21:12:16,,
