Id,ContactId,ReceivableSource,ReceivableSourceId,Code,CurrencyId,Rate,DueDate,Amount,RemainingAmount,PendingClearanceAmount,IsCompleted,CompletionDate,IsDeleted,CreatedAt,UpdatedAt,DeletedAt
1,62,SalesInvoiceMigration,1,2014.12.1,2,12148,,1596.32,1596.32,0,False,,False,2014-12-19 12:03:55,,
2,338,SalesInvoiceMigration,2,2014.12.2,1,1,,1100000,0,0,True,2015-02-11 14:29:52,False,2014-12-19 12:03:55,2015-02-11 14:29:52,
3,84,SalesInvoiceMigration,3,2014.12.3,2,11684,,38.08,3.46,0,False,,False,2014-12-19 12:03:55,2015-02-11 22:29:42,
4,84,SalesInvoiceMigration,4,2014.12.4,2,11750,,76.16,6.92,0,False,,False,2014-12-19 12:03:55,2015-02-11 22:29:42,
5,170,SalesInvoiceMigration,5,2014.12.5,2,11694,,65.34,65.34,0,False,,False,2014-12-19 12:03:56,,
6,170,SalesInvoiceMigration,6,2014.12.6,1,1,,14080000,14080000,0,False,,False,2014-12-19 12:03:56,,
7,170,SalesInvoiceMigration,7,2014.12.7,1,1,,14080000,14080000,0,False,,False,2014-12-19 12:03:56,,
8,170,SalesInvoiceMigration,8,2014.12.8,1,1,,23100000,0,0,True,2015-02-10 21:29:04,False,2014-12-19 12:03:56,2015-02-10 21:29:04,
9,170,SalesInvoiceMigration,9,2014.12.9,1,1,,16005000,0,0,True,2015-02-11 15:24:49,False,2014-12-19 12:03:56,2015-02-11 15:24:49,
10,170,SalesInvoiceMigration,10,2014.12.10,1,1,,16500000,0,0,True,2015-02-11 15:24:49,False,2014-12-19 12:03:56,2015-02-11 15:24:49,
11,170,SalesInvoiceMigration,11,2014.12.11,1,1,,19800000,0,0,True,2015-02-11 15:24:49,False,2014-12-19 12:03:56,2015-02-11 15:24:49,
12,369,SalesInvoiceMigration,12,2014.12.12,1,1,,3392812.5,0,0,True,2015-05-19 21:44:22,False,2014-12-19 12:03:56,2015-05-19 21:44:22,
13,369,SalesInvoiceMigration,13,2014.12.13,1,1,,6362400,0,0,True,2015-05-19 15:45:46,False,2014-12-19 12:03:56,2015-05-19 15:45:46,
14,369,SalesInvoiceMigration,14,2014.12.14,1,1,,3392812.5,0,0,True,2015-05-20 16:39:00,False,2014-12-19 12:03:56,2015-05-20 16:39:00,
15,369,SalesInvoiceMigration,15,2014.12.15,1,1,,3537187.5,3537187.5,0,False,,False,2014-12-19 12:03:56,,
16,369,SalesInvoiceMigration,16,2014.12.16,1,1,,3537187.5,3537187.5,0,False,,False,2014-12-19 12:03:56,,
17,369,SalesInvoiceMigration,17,2014.12.17,1,1,,3537187.5,3537187.5,0,False,,False,2014-12-19 12:03:56,,
18,369,SalesInvoiceMigration,18,2014.12.18,1,1,,3537187.5,3537187.5,0,False,,False,2014-12-19 12:03:56,,
19,369,SalesInvoiceMigration,19,2014.12.19,1,1,,3537187.5,3537187.5,0,False,,False,2014-12-19 12:03:56,,
20,72,SalesInvoiceMigration,20,2014.12.20,1,1,,10254750,10254750,0,False,,False,2014-12-19 12:03:56,,
21,72,SalesInvoiceMigration,21,2014.12.21,1,1,,3531000,3531000,0,False,,False,2014-12-19 12:03:56,,
22,72,SalesInvoiceMigration,22,2014.12.22,1,1,,197186.4,197186.4,0,False,,False,2014-12-19 12:03:56,,
23,72,SalesInvoiceMigration,23,2014.12.23,1,1,,3770069.05,0,0,True,2015-02-10 19:22:42,False,2014-12-19 12:03:56,2015-02-10 19:22:42,
24,72,SalesInvoiceMigration,24,2014.12.24,1,1,,30529611.2,0,0,True,2015-02-10 20:42:33,False,2014-12-19 12:03:56,2015-02-10 20:42:33,
25,72,SalesInvoiceMigration,25,2014.12.25,1,1,,28461653,0,0,True,2015-05-19 15:38:07,False,2014-12-19 12:03:56,2015-05-19 15:38:07,
26,72,SalesInvoiceMigration,26,2014.12.26,1,1,,465163.6,0,0,True,2015-05-19 15:40:41,False,2014-12-19 12:03:56,2015-05-19 15:40:41,
27,72,SalesInvoiceMigration,27,2014.12.27,2,12148,,236.28,236.28,0,False,,False,2014-12-19 12:03:56,,
28,72,SalesInvoiceMigration,28,2014.12.28,1,1,,7813641,0,0,True,2015-05-19 15:40:41,False,2014-12-19 12:03:56,2015-05-19 15:40:41,
29,72,SalesInvoiceMigration,29,2014.12.29,1,1,,11240460,0,0,True,2015-05-19 15:40:41,False,2014-12-19 12:03:56,2015-05-19 15:40:41,
30,285,SalesInvoiceMigration,30,2014.12.30,3,15464.17,,990.88,990.88,0,False,,False,2014-12-19 12:03:56,,
31,245,SalesInvoiceMigration,31,2014.12.31,2,12206,,1333.2,1333.2,0,False,,False,2014-12-19 12:03:56,,
32,245,SalesInvoiceMigration,32,2014.12.32,1,1,,26414058,0,0,True,2015-05-19 16:43:59,False,2014-12-19 12:03:57,2015-05-19 16:43:59,
33,363,SalesInvoiceMigration,33,2014.12.33,2,11750,,1155,105,0,False,,False,2014-12-19 12:03:57,2015-02-12 16:25:33,
34,81,SalesInvoiceMigration,34,2014.12.34,2,11750,,1155,105,0,False,,False,2014-12-19 12:03:57,2015-02-12 17:05:54,
35,82,SalesInvoiceMigration,35,2014.12.35,2,12020,,2310,210,0,False,,False,2014-12-19 12:03:57,2015-02-11 23:01:36,
36,289,SalesInvoiceMigration,36,2014.12.36,1,1,,2024000,2024000,0,False,,False,2014-12-19 12:03:57,,
37,289,SalesInvoiceMigration,37,2014.12.37,1,1,,3476000,3476000,0,False,,False,2014-12-19 12:03:57,,
38,289,SalesInvoiceMigration,38,2014.12.38,1,1,,3286800,3286800,0,False,,False,2014-12-19 12:03:57,,
39,289,SalesInvoiceMigration,39,2014.12.39,1,1,,2904000,0,0,True,2015-05-19 21:40:29,False,2014-12-19 12:03:57,2015-05-19 21:40:29,
40,289,SalesInvoiceMigration,40,2014.12.40,1,1,,2112000,0,0,True,2015-05-19 21:40:29,False,2014-12-19 12:03:57,2015-05-19 21:40:29,
41,366,SalesInvoiceMigration,41,2014.12.41,1,1,,10230000,0,0,True,2015-02-10 19:16:49,False,2014-12-19 12:03:57,2015-02-10 19:16:49,
42,366,SalesInvoiceMigration,42,2014.12.42,1,1,,18657320,18657320,0,False,,False,2014-12-19 12:03:57,,
43,366,SalesInvoiceMigration,43,2014.12.43,1,1,,10689800,10689800,0,False,,False,2014-12-19 12:03:57,,
44,85,SalesInvoiceMigration,44,2014.12.44,2,12148,,2887.5,2887.5,0,False,,False,2014-12-19 12:03:57,,
45,305,SalesInvoiceMigration,45,2014.12.45,2,12206,,558.8,0,0,True,2015-02-12 17:13:58,False,2014-12-19 12:03:57,2015-02-12 17:13:58,
46,305,SalesInvoiceMigration,46,2014.12.46,2,12158,,838.2,0,0,True,2015-02-12 17:13:58,False,2014-12-19 12:03:57,2015-02-12 17:13:58,
47,57,SalesInvoiceMigration,47,2014.12.47,1,1,,199787.5,199787.5,0,False,,False,2014-12-19 12:03:57,,
48,57,SalesInvoiceMigration,48,2014.12.48,1,1,,2425129.96,2425129.96,0,False,,False,2014-12-19 12:03:57,,
49,57,SalesInvoiceMigration,49,2014.12.49,1,1,,597164.79,597164.79,0,False,,False,2014-12-19 12:03:57,,
50,57,SalesInvoiceMigration,50,2014.12.50,1,1,,298582.4,298582.4,0,False,,False,2014-12-19 12:03:57,,
51,57,SalesInvoiceMigration,51,2014.12.51,1,1,,2798108,2798108,0,False,,False,2014-12-19 12:03:57,,
52,57,SalesInvoiceMigration,52,2014.12.52,1,1,,734065.2,734065.2,0,False,,False,2014-12-19 12:03:57,,
53,57,SalesInvoiceMigration,53,2014.12.53,1,1,,535392,535392,0,False,,False,2014-12-19 12:03:57,,
54,57,SalesInvoiceMigration,54,2014.12.54,2,12168,,2915,265,0,False,,False,2014-12-19 12:03:57,2015-02-11 23:00:11,
