Id,RecoveryOrderId,CoreIdentificationDetailId,RollerBuilderId,CompoundUnderLayerId,TotalCost,AccessoriesCost,CoreCost,CompoundCost,CompoundUsage,CompoundUnderLayerUsage,CoreTypeCase,IsDisassembled,IsStrippedAndGlued,IsWrapped,IsVulcanized,IsFacedOff,IsConventionalGrinded,IsCNCGrinded,IsPolishedAndQC,IsPackaged,IsRejected,RejectedDate,IsFinished,FinishedDate,IsDeleted,CreatedAt,UpdatedAt,DeletedAt
1,1,7,589,,382038.8,0,0,382038.8,4.2,0,Z,True,True,True,True,True,False,True,True,True,False,,True,2014-12-17,False,2015-01-07 11:36:02,2015-01-23 08:54:19,
2,1,8,588,,0,0,0,0,0,0,Z,True,True,False,False,False,False,False,False,False,False,,False,,False,2015-01-07 11:36:48,2015-01-13 14:50:09,
3,1,9,591,,545769.72,0,0,545769.72,6,0,Z,True,True,True,True,True,False,True,True,True,False,,True,2014-12-17,False,2015-01-07 11:37:13,2015-01-23 08:54:20,
4,1,10,585,,582154.36,0,0,582154.36,6.4,0,Z,True,True,True,True,True,False,True,True,True,False,,True,2014-12-17,False,2015-01-07 11:37:31,2015-01-23 08:54:22,
5,2,46,915,355,416301.01,0,0,416301.01,4.4,0.2,Z,True,True,True,True,True,True,False,True,True,False,,True,2014-12-17,False,2015-01-08 10:14:42,2015-03-05 20:45:03,
6,2,12,178,355,434493.33,0,0,434493.33,4.6,0.2,Z,True,True,True,True,True,True,False,True,True,False,,True,2014-12-17,False,2015-01-08 10:16:00,2015-03-05 20:44:23,
7,2,13,916,355,452685.66,0,0,452685.66,4.8,0.2,Z,True,True,True,True,True,False,True,True,True,False,,True,2014-12-18,False,2015-01-08 10:22:54,2015-03-05 20:40:59,
8,2,47,917,355,525454.95,0,0,525454.95,5.6,0.2,Z,True,True,True,True,True,True,False,True,True,False,,True,2014-12-18,False,2015-01-08 10:33:33,2015-03-05 20:42:25,
9,2,48,917,355,525454.95,0,0,525454.95,5.6,0.2,Z,True,True,True,True,True,True,False,True,True,False,,True,2014-12-18,False,2015-01-08 10:33:49,2015-03-05 20:41:48,
10,2,11,168,,353537.49,0,0,353537.49,4.4,0,Z,True,True,True,True,True,True,False,True,True,False,,True,2014-12-17,False,2015-01-08 10:42:51,2015-03-05 20:43:27,
11,3,19,201,,518784.42,0,0,518784.42,5.8,0,R,True,True,True,True,True,False,True,True,True,False,,True,2014-12-24,False,2015-01-08 11:00:29,2015-03-05 20:47:58,
12,5,6,178,,382038.8,0,0,382038.8,4.2,0.2,Z,True,True,True,True,True,True,False,True,True,False,,True,2014-12-15,False,2015-01-14 15:39:46,2015-03-05 20:55:20,
13,5,49,178,355,398108.69,0,0,398108.69,4.2,0.2,Z,True,True,True,True,True,True,False,True,True,False,,True,2014-12-15,False,2015-01-14 15:40:25,2015-03-05 20:54:41,
14,5,50,917,355,452685.66,0,0,452685.66,4.8,0.2,Z,True,True,True,True,True,True,False,True,True,False,,True,2014-12-15,False,2015-01-14 15:41:53,2015-03-05 20:54:01,
15,5,51,164,355,452685.66,0,0,452685.66,4.8,0.2,R,True,True,True,True,True,True,False,True,True,False,,True,2014-12-12,False,2015-01-14 15:42:47,2015-03-05 20:58:33,
16,5,52,164,355,452685.66,0,0,452685.66,4.8,0.2,R,True,True,True,True,True,True,False,True,True,False,,True,2014-12-12,False,2015-01-14 15:43:25,2015-03-05 20:58:01,
17,5,53,164,355,452685.66,0,0,452685.66,4.8,0.2,R,True,True,True,True,True,True,False,True,True,False,,True,2014-12-12,False,2015-01-14 15:43:46,2015-03-05 20:57:28,
18,5,54,164,355,452685.66,0,0,452685.66,4.8,0.2,R,True,True,True,True,True,True,False,True,True,False,,True,2014-12-12,False,2015-01-14 15:44:13,2015-03-05 20:56:52,
19,5,55,164,,491192.74,0,0,491192.74,5.4,0,R,True,True,True,True,True,False,True,True,True,False,,True,2014-12-12,False,2015-01-14 15:44:28,2015-03-05 20:53:04,
20,5,56,164,355,507262.63,0,0,507262.63,5.4,0.2,R,True,True,True,True,True,False,True,True,True,False,,True,2014-12-12,False,2015-01-14 15:45:15,2015-03-05 20:52:32,
21,5,57,164,355,507262.63,0,0,507262.63,5.4,0.2,R,True,True,True,True,True,False,True,True,True,False,,True,2014-12-12,False,2015-01-14 15:45:28,2015-03-05 20:51:54,
