Id,CoreIdentificationId,WarehouseId,Code,QuantityReceived,QuantityRejected,QuantityFinal,IsConfirmed,HasDueDate,DueDate,ConfirmationDate,IsCompleted,IsDeleted,CreatedAt,UpdatedAt,DeletedAt
1,2,1,025/XII/14,4,0,3,True,False,,2014-12-10,False,False,2015-01-07 11:30:05,2015-01-23 08:54:22,
2,3,1,024/XII/14,6,0,6,True,False,,2014-12-10,True,False,2015-01-08 10:03:54,2015-03-05 20:45:04,
3,9,1,039/XII/14,1,0,1,True,False,,2014-12-17,True,False,2015-01-08 10:58:34,2015-03-05 20:47:58,
4,12,1,033/XII/14,1,0,0,True,False,,2014-12-15,False,False,2015-01-08 11:18:06,,
5,1,1,020/XII.14,10,0,10,True,False,,2014-12-05,True,False,2015-01-14 15:37:57,2015-03-05 20:58:33,
6,16,1,011/XII/14,2,0,0,True,False,,2014-12-02,False,False,2015-01-14 16:17:13,,
7,13,1,032/XII/14,2,0,0,True,False,,2014-12-15,False,False,2015-01-16 15:47:26,,
8,15,1,027/XII/14,1,0,0,True,False,,2014-12-11,False,False,2015-01-16 16:10:16,,
9,7,1,043/XII/14,3,0,0,True,False,,2014-12-18,False,False,2015-01-17 08:11:32,,
10,19,1,001/XII/14,2,0,0,False,False,,,False,False,2015-01-17 08:55:49,,
11,18,1,003/XII/14,3,0,0,True,False,,2014-12-01,False,False,2015-01-17 09:12:10,,
12,4,1,023/XII/14,4,0,0,True,False,,2014-12-09,False,False,2015-01-17 09:24:23,,
13,33,1,036.XII.14,2,0,0,False,False,,,False,False,2015-01-17 11:28:49,,
14,28,1,052/XII/14,1,0,0,True,False,,2014-12-31,False,False,2015-01-19 09:45:55,,
15,8,1,041/XII/14,2,0,0,True,False,,2014-12-17,False,False,2015-01-19 10:04:54,,
16,30,1,026/XII/14,4,0,0,True,False,,2014-12-11,False,False,2015-01-19 10:20:27,,
17,33,1,036/XII/14,2,0,0,True,False,,2014-12-16,False,False,2015-01-19 10:28:13,,
18,37,1,035/XII/14,6,0,0,True,False,,2014-12-16,False,False,2015-01-19 10:46:56,,
19,31,1,053/XII/14,3,0,0,True,False,,2014-12-31,False,False,2015-01-19 11:07:50,,
20,17,1,016/XII/14,2,0,2,True,False,,2014-12-04,True,False,2015-01-19 11:19:35,2015-01-23 08:53:55,
21,32,1,028/XII/14,3,0,0,True,False,,2014-12-11,False,False,2015-01-22 02:56:59,,
22,23,1,017/XII/14,3,0,0,True,False,,2014-12-04,False,False,2015-01-22 03:09:55,,
23,14,1,031/XII/14,2,0,0,True,False,,2014-12-15,False,False,2015-01-22 03:38:57,,
24,38,1,CL023/XII/14,2,0,0,True,False,,2014-12-15,False,False,2015-01-22 03:54:34,,
25,21,1,006/XII/14,2,0,0,True,False,,2014-12-02,False,False,2015-01-22 04:05:04,,
26,29,1,007/XII/14,4,0,4,True,False,,2014-12-02,True,False,2015-01-22 04:32:27,2015-03-04 18:09:37,
27,35,1,051/XII/14,4,0,0,True,False,,2014-12-30,False,False,2015-01-23 08:11:59,2015-01-23 08:18:49,
