Id,MachineId,RollerTypeId,CompoundId,CoreBuilderId,BaseSku,SkuRollerUsedCore,SkuRollerNewCore,RollerUsedCoreItemId,RollerNewCoreItemId,AdhesiveId,UoMId,Name,Description,RD,CD,RL,WL,TL,IsCrowning,CrowningSize,IsGrooving,GroovingWidth,GroovingDepth,GroovingPosition,IsChamfer,IsDeleted,CreatedAt,UpdatedAt,DeletedAt
1,334,6,357,1,ROL1,ROL1U,ROL1N,3127,3128,833,1,Westland Roller - Akiyama - Damp Roll - 76.2/50/1142/1142/1270/C254-12,,76.2,50,1142,1142,1270,False,,False,,,,False,False,2014-12-19 09:25:00,,
2,334,8,354,1,ROL2,ROL2U,ROL2N,3129,3130,833,1,Westland Roller - Akiyama - Ink Dist - 80/55/1110/1110/1394/C302-01,,80,55,1110,1110,1394,False,,False,,,,False,False,2014-12-19 09:25:01,,
3,335,3,353,1,ROL3,ROL3U,ROL3N,3131,3132,833,1,Westland Roller - Albert - Damp Form - 90/60/1030/1030/1140/C253-01,,90,60,1030,1030,1140,False,,False,,,,False,False,2014-12-19 09:25:03,2015-03-04 19:47:44,
4,335,10,354,1,ROL4,ROL4U,ROL4N,3133,3134,833,1,Westland Roller - Albert - Ink Form - 90/59/1030/1030/1140/C302-01,,90,59,1030,1030,1140,False,,False,,,,False,False,2014-12-19 09:25:05,,
5,335,10,354,1,ROL5,ROL5U,ROL5N,3135,3136,833,1,Westland Roller - Albert - Ink Form - 86/59/1030/1030/1140/C302-01,,86,59,1030,1030,1140,False,,False,,,,False,False,2014-12-19 09:25:06,,
6,335,11,355,218,ROL6,ROL6U,ROL6N,3137,3138,833,1,Westland Roller - Albert - Ink Trans - 80/59/1030/1030/1140/C352-01,,80,59,1030,1030,1140,False,,False,,,,False,False,2014-12-19 09:25:08,2015-04-23 14:11:33,
7,335,12,355,1,ROL7,ROL7U,ROL7N,3139,3140,833,1,Westland Roller - Albert - Ink Roll C - 61/36/290/290/362/C352-01,,61,36,290,290,362,False,,False,,,,False,False,2014-12-19 09:25:09,,
8,336,9,356,1,ROL8,ROL8U,ROL8N,3141,3142,833,1,Westland Roller - Auto Print - Ink Duct - 35/18/500/500/559/C402-01,,35,18,500,500,559,False,,False,,,,False,False,2014-12-19 09:25:11,,
9,336,9,356,1,ROL9,ROL9U,ROL9N,3143,3144,833,1,Westland Roller - Auto Print - Ink Duct - 53/37/500/500/545/C402-01,,53,37,500,500,545,False,,False,,,,False,False,2014-12-19 09:25:13,,
10,336,9,356,1,ROL10,ROL10U,ROL10N,3145,3146,833,1,Westland Roller - Auto Print - Ink Duct - 57/37/500/500/545/C402-01,,57,37,500,500,545,False,,False,,,,False,False,2014-12-19 09:25:14,,
