Id,NomorSurat,ContactId,CurrencyId,Rate,AmountReceivable,Tax,DPP,InvoiceDate,CreatedAt,UpdatedAt,DeletedAt
1,002.14.87584022,62,2,12148,1596.32,159.63,1451.2,2014-11-14,2014-12-19 12:03:55,,
2,002.14.87583946,338,1,1,1100000,110000,990000,2014-11-10,2014-12-19 12:03:55,,
3,002.14.87582826,84,2,11684,38.08,3.81,34.62,2014-08-20,2014-12-19 12:03:55,,
4,002.14.87583133,84,2,11750,76.16,7.62,69.24,2014-09-11,2014-12-19 12:03:55,,
5,002.14.87583015,170,2,11694,65.34,6.53,59.4,2014-09-02,2014-12-19 12:03:55,,
6,002.14.87583096,170,1,1,14080000,1408000,12672000,2014-09-09,2014-12-19 12:03:56,,
7,002.14.87583896,170,1,1,14080000,1408000,12672000,2014-11-05,2014-12-19 12:03:56,,
8,002.14.87583897,170,1,1,23100000,2310000,20790000,2014-11-05,2014-12-19 12:03:56,,
9,002.14.87584140,170,1,1,16005000,1600500,14404500,2014-11-24,2014-12-19 12:03:56,,
10,002.14.87584141,170,1,1,16500000,1650000,14850000,2014-11-24,2014-12-19 12:03:56,,
11,002.14.87584197,170,1,1,19800000,1980000,17820000,2014-11-27,2014-12-19 12:03:56,,
12,001-14.39336054,369,1,1,3392812.5,339281.25,3053531.25,2014-08-07,2014-12-19 12:03:56,,
13,001-14.39336089,369,1,1,6362400,636240,5726160,2014-08-11,2014-12-19 12:03:56,,
14,002.14.87582801,369,1,1,3392812.5,339281.25,3053531.25,2014-08-18,2014-12-19 12:03:56,,
15,002.14.87583498,369,1,1,3537187.5,353718.75,3183468.75,2014-10-08,2014-12-19 12:03:56,,
16,002.14.87583642,369,1,1,3537187.5,353718.75,3183468.75,2014-10-20,2014-12-19 12:03:56,,
17,002.14.87583781,369,1,1,3537187.5,353718.75,3183468.75,2014-10-29,2014-12-19 12:03:56,,
18,002.14.87583938,369,1,1,3537187.5,353718.75,3183468.75,2014-11-07,2014-12-19 12:03:56,,
19,002.14.87584107,369,1,1,3537187.5,353718.75,3183468.75,2014-11-20,2014-12-19 12:03:56,,
20,3038,72,1,1,10254750,1025475,9229275,2009-12-31,2014-12-19 12:03:56,,
21,625,72,1,1,3531000,353100,3177900,2010-03-30,2014-12-19 12:03:56,,
22,1225,72,1,1,197186.4,19718.64,177467.76,2012-04-03,2014-12-19 12:03:56,,
23,002.14.87583406,72,1,1,3770069.05,377006.9,3393062.14,2014-10-01,2014-12-19 12:03:56,,
24,002.14.87583601,72,1,1,30529611.2,3052961.12,27476650.08,2014-10-15,2014-12-19 12:03:56,,
25,002.14.87583937,72,1,1,28461653,2846165.3,25615487.7,2014-11-07,2014-12-19 12:03:56,,
26,002.14.87584070,72,1,1,465163.6,46516.36,418647.24,2014-11-18,2014-12-19 12:03:56,,
27,002.14.87584071,72,2,12148,236.28,23.63,214.8,2014-11-18,2014-12-19 12:03:56,,
28,002.14.87584144,72,1,1,7813641,781364.1,7032276.9,2014-11-24,2014-12-19 12:03:56,,
29,002.14.87584145,72,1,1,11240460,1124046,10116414,2014-11-24,2014-12-19 12:03:56,,
30,002.14.87583612,285,3,15464.17,990.88,99.09,900.8,2014-10-16,2014-12-19 12:03:56,,
31,002.14.87584096,245,2,12206,1333.2,133.32,1212,2014-11-20,2014-12-19 12:03:56,,
32,002.14.87584097,245,1,1,26414058,2641405.8,23772652.2,2014-11-20,2014-12-19 12:03:56,,
33,002.14.87583145,363,2,11750,1155,115.5,1050,2014-09-12,2014-12-19 12:03:57,,
34,002.14.87583144,81,2,11750,1155,115.5,1050,2014-09-12,2014-12-19 12:03:57,,
35,002.14.87583420,82,2,12020,2310,231,2100,2014-10-02,2014-12-19 12:03:57,,
36,001-14.39336128,289,1,1,2024000,202400,1821600,2014-08-14,2014-12-19 12:03:57,,
37,002.14.87583233,289,1,1,3476000,347600,3128400,2014-09-18,2014-12-19 12:03:57,,
38,002.14.87583494,289,1,1,3286800,328680,2958120,2014-10-08,2014-12-19 12:03:57,,
39,002.14.87583648,289,1,1,2904000,290400,2613600,2014-10-21,2014-12-19 12:03:57,,
40,002.14.87583821,289,1,1,2112000,211200,1900800,2014-10-31,2014-12-19 12:03:57,,
41,002.14.87583702,366,1,1,10230000,1023000,9207000,2014-10-24,2014-12-19 12:03:57,,
42,002.14.87583883,366,1,1,18657320,1865732,16791588,2014-11-05,2014-12-19 12:03:57,,
43,002.14.87584015,366,1,1,10689800,1068980,9620820,2014-11-13,2014-12-19 12:03:57,,
44,002.14.87584023,85,2,12148,2887.5,288.75,2625,2014-11-14,2014-12-19 12:03:57,,
45,002.14.87584085,305,2,12206,558.8,55.88,508,2014-11-19,2014-12-19 12:03:57,,
46,002.14.87584205,305,2,12158,838.2,83.82,762,2014-11-27,2014-12-19 12:03:57,,
47,336,57,1,1,199787.5,19978.75,179808.75,2007-02-23,2014-12-19 12:03:57,,
48,956,57,1,1,2425129.96,242512.99,2182616.96,2011-03-23,2014-12-19 12:03:57,,
49,957,57,1,1,597164.79,59716.47,537448.31,2011-03-23,2014-12-19 12:03:57,,
50,991,57,1,1,298582.4,29858.24,268724.16,2011-03-25,2014-12-19 12:03:57,,
51,2795,57,1,1,2798108,279810.8,2518297.2,2011-08-09,2014-12-19 12:03:57,,
52,002.14.87583622,57,1,1,734065.2,73406.52,660658.68,2014-10-17,2014-12-19 12:03:57,,
53,002.14.87583700,57,1,1,535392,53539.2,481852.8,2014-10-24,2014-12-19 12:03:57,,
54,002.14.87583701,57,2,12168,2915,291.5,2650,2014-10-24,2014-12-19 12:03:57,,
55,002.14.87583803,57,2,12038,484,48.4,440,2014-10-31,2014-12-19 12:03:57,,
56,002.14.87583804,57,2,12038,583,58.3,530,2014-10-31,2014-12-19 12:03:57,,
57,002.14.87583867,57,2,12038,2360.82,236.08,2146.2,2014-11-04,2014-12-19 12:03:57,,
58,002.14.87583868,57,2,12038,1191.26,119.13,1082.96,2014-11-04,2014-12-19 12:03:57,,
59,002.14.87583922,57,2,12109,484,48.4,440,2014-11-07,2014-12-19 12:03:57,,
60,002.14.87584028,57,2,12148,559.68,55.97,508.8,2014-11-14,2014-12-19 12:03:57,,
61,002.14.87584045,57,2,12148,1316.7,131.67,1197,2014-11-17,2014-12-19 12:03:57,,
62,002.14.87584046,57,2,12148,932.8,93.28,848,2014-11-17,2014-12-19 12:03:58,,
63,002.14.87584047,57,2,12148,2332,233.2,2120,2014-11-17,2014-12-19 12:03:58,,
64,002.14.87584048,57,2,12148,101.64,10.16,92.4,2014-11-17,2014-12-19 12:03:58,,
65,2881,207,1,1,187300,18730,168570,2011-08-15,2014-12-19 12:03:58,,
66,002.14.87583435,207,1,1,2567400,256740,2310660,2014-10-03,2014-12-19 12:03:58,,
67,002.14.87583520,207,2,12172,528,52.8,480,2014-10-10,2014-12-19 12:03:58,,
68,002.14.87583614,207,1,1,2567400,256740,2310660,2014-10-17,2014-12-19 12:03:58,,
69,002.14.87583857,207,1,1,5834400,583440,5250960,2014-11-04,2014-12-19 12:03:58,,
70,002.14.87583962,207,2,12109,1056,105.6,960,2014-11-11,2014-12-19 12:03:58,,
71,002.14.87584211,207,2,12158,1056,105.6,960,2014-11-28,2014-12-19 12:03:58,,
72,002.14.87583196,59,1,1,6897000,689700,6207300,2014-09-16,2014-12-19 12:03:58,,
73,002.14.87583335,59,1,1,77684200,7768420,69915780,2014-09-26,2014-12-19 12:03:58,,
74,002.14.87584029,59,1,1,9075000,907500,8167500,2014-11-14,2014-12-19 12:03:58,,
75,1111,224,1,1,2501000,250100,2250900,2008-05-14,2014-12-19 12:03:58,,
76,002.14.87583833,352,1,1,5280000,528000,4752000,2014-10-31,2014-12-19 12:03:58,,
77,002.14.87583822,330,1,1,18095000,1809500,16285500,2014-10-31,2014-12-19 12:03:58,,
78,002.14.87583800,92,1,1,15714600,1571460,14143140,2014-10-31,2014-12-19 12:03:58,,
79,002.14.87584079,92,1,1,7260000,726000,6534000,2014-11-19,2014-12-19 12:03:58,,
80,002.14.87584152,368,1,1,2554200,255420,2298780,2014-11-24,2014-12-19 12:03:58,,
81,002.14.87583183,211,1,1,1072775,107277.5,965497.5,2014-09-15,2014-12-19 12:03:58,,
82,002.14.87583305,211,1,1,1095600,109560,986040,2014-09-24,2014-12-19 12:03:58,,
83,002.14.87583334,211,1,1,1095600,109560,986040,2014-09-26,2014-12-19 12:03:58,,
84,002.14.87583407,211,1,1,1111121,111112.1,1000008.9,2014-10-01,2014-12-19 12:03:58,,
85,002.14.87583501,211,1,1,2226807,222680.7,2004126.3,2014-10-08,2014-12-19 12:03:58,,
86,002.14.87583669,211,1,1,2193939,219393.9,1974545.1,2014-10-21,2014-12-19 12:03:59,,
87,002.14.87583872,211,1,1,2209460,220946,1988514,2014-11-04,2014-12-19 12:03:59,,
88,570,236,1,1,310000,31000,279000,2010-03-23,2014-12-19 12:03:59,,
89,1396,236,1,1,313865.2,31386.52,282478.68,2010-05-24,2014-12-19 12:03:59,,
90,002.14.87583399,236,1,1,2200000,220000,1980000,2014-10-01,2014-12-19 12:03:59,,
91,002.14.87583540,236,1,1,1958000,195800,1762200,2014-10-10,2014-12-19 12:03:59,,
92,002.14.87583693,236,1,1,1496000,149600,1346400,2014-10-23,2014-12-19 12:03:59,,
93,002.14.87583999,236,1,1,1496000,149600,1346400,2014-11-12,2014-12-19 12:03:59,,
94,002.14.87584165,341,1,1,1830400,183040,1647360,2014-11-25,2014-12-19 12:03:59,,
95,002.14.87583672,77,1,1,5793260,579326,5213934,2014-10-22,2014-12-19 12:03:59,,
96,002.14.87583882,77,1,1,1421200,142120,1279080,2014-11-05,2014-12-19 12:03:59,,
97,002.14.87583954,77,1,1,12201200,1220120,10981080,2014-11-10,2014-12-19 12:03:59,,
98,002.14.87584053,77,1,1,1787720,178772,1608948,2014-11-17,2014-12-19 12:03:59,,
99,002.14.87584055,77,1,1,1787720,178772,1608948,2014-11-18,2014-12-19 12:03:59,,
100,001-14.39336047,288,1,1,21472000,2147200,19324800,2014-08-07,2014-12-19 12:03:59,,
101,001-14.39336074,288,1,1,30597600,3059760,27537840,2014-08-08,2014-12-19 12:03:59,,
102,002.14.87582964,288,1,1,10736000,1073600,9662400,2014-08-29,2014-12-19 12:03:59,,
103,002.14.87583070,288,2,11696,543.84,54.38,494.4,2014-09-08,2014-12-19 12:03:59,,
104,002.14.87583071,288,2,11696,1135.75,113.58,1032.5,2014-09-08,2014-12-19 12:03:59,,
105,002.14.87583118,288,2,11750,851.4,85.14,774,2014-09-11,2014-12-19 12:03:59,,
106,002.14.87583170,288,2,11750,1087.68,108.77,988.8,2014-09-15,2014-12-19 12:03:59,,
107,002.14.87583195,288,2,11750,1135.75,113.58,1032.5,2014-09-16,2014-12-19 12:04:00,,
108,002.14.87583237,288,2,11824,679.8,67.98,618,2014-09-19,2014-12-19 12:04:00,,
109,002.14.87583295,288,2,11973,913,91.3,830,2014-09-24,2014-12-19 12:04:00,,
110,002.14.87583350,288,2,11973,505.6,50.56,459.64,2014-09-29,2014-12-19 12:04:00,,
111,002.14.87583389,288,1,1,6600000,660000,5940000,2014-09-30,2014-12-19 12:04:00,,
112,002.14.87583419,288,2,12020,1135.75,113.58,1032.5,2014-10-02,2014-12-19 12:04:00,,
113,002.14.87583565,288,2,12172,913,91.3,830,2014-10-14,2014-12-19 12:04:00,,
114,002.14.87583851,288,2,12038,907.5,90.75,825,2014-11-03,2014-12-19 12:04:00,,
115,002.14.87583866,288,2,12038,456.5,45.65,415,2014-11-04,2014-12-19 12:04:00,,
116,002.14.87583985,288,2,12109,425.7,42.57,387,2014-11-11,2014-12-19 12:04:00,,
117,002.14.87583986,288,2,12109,907.5,90.75,825,2014-11-11,2014-12-19 12:04:00,,
118,002.14.87584016,288,2,12148,456.5,45.65,415,2014-11-13,2014-12-19 12:04:00,,
119,002.14.87584109,288,2,12206,456.5,45.65,415,2014-11-20,2014-12-19 12:04:00,,
120,002.14.87584110,288,2,12206,425.7,42.57,387,2014-11-20,2014-12-19 12:04:00,,
121,002.14.87584111,288,2,12206,440,44,400,2014-11-20,2014-12-19 12:04:00,,
122,002.14.87584183,288,2,12158,907.5,90.75,825,2014-11-26,2014-12-19 12:04:00,,
123,002.14.87584208,288,2,12158,440,44,400,2014-11-27,2014-12-19 12:04:00,,
124,002.14.87582945,620,1,1,1836384,183638.4,1652745.6,2014-08-28,2014-12-19 12:04:00,,
125,002.14.87583546,620,1,1,1836384,183638.4,1652745.6,2014-10-10,2014-12-19 12:04:01,,
126,002.14.87583806,620,1,1,1836384,183638.4,1652745.6,2014-10-31,2014-12-19 12:04:01,,
127,002.14.87584213,620,1,1,1836384,183638.4,1652745.6,2014-11-28,2014-12-19 12:04:01,,
128,002.14.87583506,287,1,1,1980000,198000,1782000,2014-10-09,2014-12-19 12:04:01,,
129,002.14.87584078,287,1,1,1980000,198000,1782000,2014-11-19,2014-12-19 12:04:01,,
130,002.14.87583859,315,1,1,14751000,1475100,13275900,2014-11-04,2014-12-19 12:04:01,,
131,002.14.87583869,286,1,1,5061980,506198,4555782,2014-11-04,2014-12-19 12:04:01,,
132,002.14.87584067,281,1,1,1078000,107800,970200,2014-11-18,2014-12-19 12:04:01,,
133,000-14.41083622,108,1,1,4295500,429550,3865950,2014-02-24,2014-12-19 12:04:01,,
134,000-14.41083811,108,1,1,15745400,1574540,14170860,2014-03-10,2014-12-19 12:04:01,,
135,000-14.41084025,108,1,1,29920000,2992000,26928000,2014-03-26,2014-12-19 12:04:01,,
136,000-14.41084026,108,1,1,8580000,858000,7722000,2014-03-26,2014-12-19 12:04:01,,
137,000-14.41084346,108,1,1,29920000,2992000,26928000,2014-04-23,2014-12-19 12:04:01,,
138,001-14.39334933,108,1,1,9438000,943800,8494200,2014-05-12,2014-12-19 12:04:01,,
139,002.14.87584024,2,2,12148,2778.93,277.89,2526.3,2014-11-14,2014-12-19 12:04:02,,
140,002.14.87583537,4,2,12172,3532.1,353.21,3211,2014-10-10,2014-12-19 12:04:02,,
141,002.14.87583538,4,2,12172,4697,469.7,4270,2014-10-10,2014-12-19 12:04:02,,
142,002.14.87583829,4,2,12038,185.9,18.59,169,2014-10-31,2014-12-19 12:04:02,,
143,002.14.87583830,4,2,12038,2788.5,278.85,2535,2014-10-31,2014-12-19 12:04:02,,
144,002.14.87583831,4,2,12038,4275.7,427.57,3887,2014-10-31,2014-12-19 12:04:02,,
145,002.14.87583832,4,2,12038,4697,469.7,4270,2014-10-31,2014-12-19 12:04:02,,
