Id,Code,OrderType,OrderCode,ContactId,SalesDate,NomorSurat,CurrencyId,EmployeeId,IsConfirmed,ConfirmationDate,IsDeliveryCompleted,IsDeleted,DeletedAt,CreatedAt,UpdatedAt
1,2014.12.1,0,,326,2014-12-16,003.14.64493628,1,1,True,2014-12-16,False,False,,2014-12-19 15:33:34,2014-12-30 10:44:39
2,2014.12.2,0,,872,2014-12-11,003.14.64493558,1,1,True,2014-12-11,False,False,,2014-12-19 15:35:09,2014-12-30 10:47:05
3,2014.12.3,0,,512,2014-12-01,003.14.64493401,1,1,True,2014-12-01,False,False,,2014-12-19 15:53:48,2014-12-30 10:46:29
4,2014.12.4,0,,108,2014-12-03,003.14.64493438,1,1,True,2014-12-03,False,False,,2014-12-19 16:00:23,2014-12-30 10:46:43
5,2014.12.5,0,,956,2014-12-15,003.14.64493618,1,1,True,2014-12-15,False,False,,2014-12-19 16:05:31,2014-12-30 10:46:50
6,2014.12.6,0,,114,2014-12-01,003.14.64493394,2,1,True,2014-12-01,True,False,,2014-12-19 16:13:54,2015-02-04 22:28:36
7,2014.12.7,0,,19,2014-12-17,003.14.64493657,1,1,True,2014-12-17,True,False,,2014-12-19 16:20:13,2015-02-04 22:00:22
8,2014.12.8,0,,32,2014-12-15,003.14.64493602,1,1,True,2014-12-15,True,False,,2014-12-19 16:34:36,2015-02-17 14:45:57
9,2014.12.9,0,,140,2014-12-01,003.14.64493395,2,1,False,,False,False,,2014-12-19 16:36:48,
10,2014.12.10,0,,21,2014-12-15,003.14.64493601,1,1,True,2014-12-15,True,False,,2014-12-19 16:46:06,2015-02-04 20:26:26
11,2014.12.11,0,,53,2014-12-15,003.14.64493588,1,1,True,2014-12-15,False,False,,2014-12-19 16:50:18,2014-12-19 16:54:51
12,2014.12.12,0,,236,2014-12-01,003.14.64493400,1,1,True,2014-12-01,True,False,,2014-12-19 16:57:17,2015-02-04 21:49:23
13,2014.12.13,0,,32,2014-12-03,003.14.64493437,1,1,True,2014-12-03,True,False,,2014-12-19 17:06:44,2015-02-04 21:57:07
14,2014.12.14,0,,114,2014-12-03,003.14.64493445,2,1,True,2014-12-03,False,False,,2014-12-19 17:18:26,2014-12-23 08:58:57
15,2014.12.15,0,,188,2014-12-15,003.14.64493587,1,1,False,,False,True,2014-12-22 16:14:35,2014-12-22 16:06:11,
16,2014.12.16,0,,136,2014-12-10,003.14.64493540,2,1,True,2014-12-10,True,False,,2014-12-22 16:10:33,2015-02-04 21:46:40
17,2014.12.16,0,,171,2014-12-12,003.14.64493566,1,1,True,2014-12-12,True,False,,2014-12-22 16:15:41,2015-02-04 21:30:29
18,2014.12.17,0,,373,2014-12-10,003.14.64493539,1,1,True,2014-12-10,True,False,,2014-12-22 16:17:55,2015-02-16 22:09:02
19,2014.12.18,0,,331,2014-12-09,003.14.64493529,2,1,True,2014-12-09,True,False,,2014-12-22 16:26:13,2015-02-16 22:17:07
20,2014.12.19,0,,20,2014-12-12,003.14.64493563,1,1,True,2014-12-12,True,False,,2014-12-22 16:26:41,2015-02-04 21:26:26
21,2014.12.20,0,,135,2014-12-10,003.14.64493536,1,1,True,2014-12-10,True,False,,2014-12-22 16:36:24,2015-02-04 21:22:51
22,2014.12.21,0,,288,2014-12-09,003.14.64493516,2,1,True,2014-12-09,True,False,,2014-12-22 16:47:03,2015-02-04 21:18:02
23,2014.12.22,0,,136,2014-12-09,003.14.64493526,2,1,True,2014-12-09,False,False,,2014-12-22 16:54:00,
24,2014.12.23,0,,369,2014-12-08,003.14.64493515,1,1,True,2014-12-08,True,False,,2014-12-22 17:07:14,2015-02-16 22:40:19
25,2014.12.24,0,,135,2014-12-05,003.14.64493501,1,1,True,2014-12-05,True,False,,2014-12-22 17:15:43,2015-02-04 22:11:21
26,2014.12.25,0,,302,2014-12-08,003.14.64493513,1,1,True,2014-12-08,True,False,,2014-12-22 17:20:04,2015-02-04 22:21:33
27,2014.12.26,0,,57,2014-12-04,003.14.64493471,2,1,True,2014-12-04,True,False,,2014-12-22 17:20:37,2015-02-04 22:09:01
28,2014.12.27,0,,288,2014-12-11,003.14.64493561,2,1,True,2014-12-11,True,False,,2014-12-22 17:27:40,2015-02-04 22:05:29
