Id,Name,Size,IsDeleted,CreatedAt,UpdatedAt,DeletedAt
1,Pieces (Pcs),0,False,2014-12-19 08:55:40,,
2,Kilogram (Kg),0,False,2014-12-19 08:55:40,,
3,Liter (Lit),0,False,2014-12-19 08:55:40,,
4,Roll ,0,False,2014-12-19 08:55:40,,
5,Meter (M),0,False,2014-12-19 08:55:40,,
6,Millimeter (mm),0,False,2014-12-19 08:55:40,,
7,Unit,0,False,2014-12-19 08:55:40,,
8,Sheet / Lembar,0,False,2014-12-19 08:55:40,,
9,Gram (gr),0,False,2014-12-19 08:55:40,,
10,Millilitre (mL),0,False,2014-12-19 08:55:40,,
11,Centimeter (cm),0,False,2014-12-19 08:55:40,,
12,Tin / Kaleng,0,False,2014-12-19 08:55:40,,
13,Sqm (m2),0,False,2014-12-19 08:55:40,,
14,Sack / Karung,0,False,2014-12-19 08:55:40,,
15,Pair / Pasang,0,False,2014-12-19 08:55:40,,
16,Pack / Bungkus,0,False,2014-12-19 08:55:40,,
17,Pack 1Kg,0,False,2014-12-19 08:55:40,,
18,Pail 4Kg,0,False,2014-12-19 08:55:40,,
19,Pail 5Kg,0,False,2014-12-19 08:55:40,2015-02-24 21:50:58,
20,Pail 25Kg,0,False,2014-12-19 08:55:40,,
21,Pail 27Kg,0,False,2014-12-19 08:55:40,,
22,Pail 5L,0,False,2014-12-19 08:55:40,,
23,Pail 10L,0,False,2014-12-19 08:55:40,,
24,Pail 20L,0,False,2014-12-19 08:55:40,,
25,Pail 25L,0,False,2014-12-19 08:55:40,,
26,Drum 200Kg,0,False,2014-12-19 08:55:40,,
27,Drum 220Kg,0,False,2014-12-19 08:55:40,,
28,Drum 200L,0,False,2014-12-19 08:55:40,,
29,Botol 1L,0,False,2014-12-19 08:55:40,,
30,Tin 700g,0,False,2014-12-19 08:55:40,,
31,Tin 500g,0,False,2014-12-19 08:55:40,,
32,Tin 1Kg,0,False,2014-12-19 08:55:40,,
33,Tin 900g,0,False,2014-12-19 08:55:40,,
34,Tin 0.25L,0,False,2014-12-19 08:55:40,,
35,Box ,0,False,2014-12-24 11:14:50,2014-12-24 11:15:19,
36,Drum 160Kg,0,False,2014-12-24 11:47:08,2014-12-24 11:47:37,
37,Drum 158Kg,0,False,2014-12-24 11:47:28,,
38,Drum 165Lit,0,True,2015-01-02 05:55:46,,2015-01-02 05:56:21
39,Drum,0,False,2015-01-02 05:56:57,,
40,Pail 20Kg,0,True,2015-01-14 11:16:14,,2015-01-14 11:20:46
41,Slit Roll,0,False,2015-01-21 04:15:10,2015-01-21 04:34:57,
42,Jumbo Roll,0,False,2015-01-21 04:15:21,,
43,Drum 165Kg,0,False,2015-02-23 19:49:48,,
44,Rim ,0,False,2015-02-23 19:52:19,,
45,Set,0,False,2015-02-23 20:12:18,,
46,Lusin ,0,False,2015-03-09 20:36:04,,
47,Drum 155Kg,0,False,2015-04-06 20:07:31,,
