SKU,ItemTypeName,Name,Uom,Qty,Price,Currency
ACC1,Accessory,Bearing 51104,Pieces (Pcs),358.0,1.0,Rupiah
ACC2,Accessory,Bearing 51106,Pieces (Pcs),33.0,46000.0,Rupiah
ACC3,Accessory,Bearing 51202,Pieces (Pcs),13.0,1.0,Rupiah
ACC4,Accessory,Bearing 1201 ETN9,Pieces (Pcs),1.0,1.0,Rupiah
ACC5,Accessory,Bearing 1202 - RS,Pieces (Pcs),0.0,0.0,Rupiah
ACC6,Accessory,Bearing 1204 ETN9,Pieces (Pcs),4.0,1.0,Rupiah
ACC7,Accessory,Bearing 2205 E - 2RS1TN9,Pieces (Pcs),6.0,254000.0,Rupiah
ACC8,Accessory,Bearing 2206E-2 RS1,Pieces (Pcs),0.0,0.0,Rupiah
ACC9,Accessory,Bearing 2207 - 2RS,Pieces (Pcs),1.0,1.0,Rupiah
ACC10,Accessory,Bearing 2208 - 2RS RS,Pieces (Pcs),1.0,1.0,Rupiah
ACC11,Accessory,Bearing 2210 E-2RS1TN9,Pieces (Pcs),2.0,1.0,Rupiah
ACC12,Accessory,Bearing 3203 A-2ZTN9,Pieces (Pcs),0.0,0.0,Rupiah
ACC13,Accessory,Bearing 3204 B-2RSR,Pieces (Pcs),28.0,1.0,Rupiah
ACC14,Accessory,Bearing 3205 A-2ZTN9,Pieces (Pcs),0.0,0.0,Rupiah
ACC15,Accessory,Bearing 3206-2 RS,Pieces (Pcs),0.0,0.0,Rupiah
ACC16,Accessory,Bearing 361202 - R ,Pieces (Pcs),20.0,120000.0,Rupiah
ACC17,Accessory,Bearing 361204 - R,Pieces (Pcs),14.0,123400.0,Rupiah
ACC18,Accessory,Bearing 440114-AE,Pieces (Pcs),0.0,0.0,Rupiah
ACC19,Accessory,Bearing 5204 - 2RS,Pieces (Pcs),6.0,1.0,Rupiah
ACC20,Accessory,Bearing 5307 ATN9 ,Pieces (Pcs),8.0,1.0,Rupiah
ACC21,Accessory,Bearing 6000 - 2RS/ C3,Pieces (Pcs),10.0,12400.0,Rupiah
ACC22,Accessory,Bearing 6000 - 2Z,Pieces (Pcs),4.0,1.0,Rupiah
ACC23,Accessory,Bearing 6001 - 2RS,Pieces (Pcs),56.0,22100.0,Rupiah
ACC24,Accessory,Bearing 6001 - 2Z/C3/QE6,Pieces (Pcs),20.0,1.0,Rupiah
ACC25,Accessory,Bearing 6002 - 2RSH/C3,Pieces (Pcs),10.0,1.0,Rupiah
ACC26,Accessory,Bearing 6003 - 2RSH,Pieces (Pcs),4.0,17200.0,Rupiah
ACC27,Accessory,Bearing 6004 - 2RSH/C3,Pieces (Pcs),7.0,19000.0,Rupiah
